beta	mu	sigma
0.2	0.911019	1.58317
0.2	1.06337	0.664831
0.2	0.126735	0.565043
0.2	1.43625	0.777397
0.2	1.06562	0.287285
0.2	0.195619	0.711594
0.2	0.50861	1.30558
0.2	1.50114	1.2821
0.2	0.88913	0.521251
0.2	0.815835	0.925858
0.24	1.38714	0.81627
0.24	0.391698	1.42069
0.24	0.586302	0.521698
0.24	1.00148	1.57947
0.24	0.0323059	1.57537
0.24	0.849069	0.627168
0.24	0.751359	0.471038
0.24	0.51731	0.843726
0.24	0.267002	1.46963
0.24	0.935295	0.868542
0.288	1.20322	0.646514
0.288	0.763593	0.69405
0.288	0.970788	1.09098
0.288	0.628219	0.623587
0.288	1.28109	0.426711
0.288	1.17627	0.649803
0.288	1.08068	0.530134
0.288	0.249261	0.202327
0.288	0.560328	0.528663
0.288	0.22952	1.0035
0.3456	0.0305454	1.20216
0.3456	0.0727183	1.82882
0.3456	0.412836	0.960052
0.3456	1.03424	0.895986
0.3456	0.493193	1.02884
0.3456	0.738677	0.888061
0.3456	0.701514	0.5969
0.3456	0.526756	1.51013
0.3456	0.377991	1.11847
0.3456	0.667161	0.639947
0.41472	0.145626	1.58589
0.41472	1.35746	0.177048
0.41472	0.778128	1.25941
0.41472	0.713028	0.654857
0.41472	0.95938	0.319736
0.41472	1.42292	1.12434
0.41472	0.855098	0.845773
0.41472	0.412424	1.49206
0.41472	0.575638	0.852532
0.41472	0.314871	1.09494
0.497664	0.14309	0.504515
0.497664	0.311551	1.12018
0.497664	0.320494	0.839168
0.497664	1.37753	0.595687
0.497664	0.674897	1.19901
0.497664	0.51513	0.814913
0.497664	0.0916475	1.35726
0.497664	0.110056	0.712293
0.497664	0.0565986	1.47261
0.497664	0.23925	1.5016
0.597197	0.87521	0.852132
0.597197	0.577969	0.968456
0.597197	0.960711	1.4505
0.597197	0.0225198	1.26747
0.597197	1.01526	0.673507
0.597197	1.07243	0.666161
0.597197	0.952927	0.600505
0.597197	0.785217	0.938874
0.597197	0.890068	0.533265
0.597197	1.29955	0.313681
0.716636	1.18032	0.671174
0.716636	1.15214	0.710939
0.716636	0.729127	0.951025
0.716636	0.47469	1.42423
0.716636	0.288131	0.709191
0.716636	1.11785	0.773131
0.716636	0.142839	1.62359
0.716636	0.672275	0.529321
0.716636	0.385075	1.02429
0.716636	0.41268	0.826609
0.859963	0.708188	0.950403
0.859963	0.380471	0.837655
0.859963	0.429475	1.06014
0.859963	0.289025	1.42663
0.859963	0.167712	0.4508
0.859963	0.395783	1.62685
0.859963	0.439132	1.63386
0.859963	0.609974	1.58312
0.859963	1.06419	0.580575
0.859963	0.903627	0.393584
1.03196	0.41915	0.41554
1.03196	0.533593	1.00062
1.03196	0.57281	0.867709
1.03196	0.585965	0.709891
1.03196	0.801355	0.623736
1.03196	0.0842276	0.786919
1.03196	0.960462	0.771976
1.03196	0.798465	0.394072
1.03196	1.09962	0.450753
1.03196	0.366846	0.633345
1.23835	0.641113	0.241365
1.23835	0.250106	1.2145
1.23835	0.614363	0.478047
1.23835	1.1834	0.597393
1.23835	0.236879	1.29691
1.23835	0.528007	0.809446
1.23835	0.783951	0.588453
1.23835	0.914253	0.355252
1.23835	0.690021	0.851551
1.23835	0.127989	1.09054
1.48602	0.0589478	1.35823
1.48602	0.812402	0.688153
1.48602	0.645205	0.659493
1.48602	0.262688	1.02229
1.48602	0.389601	0.807548
1.48602	0.610394	0.653345
1.48602	0.324336	0.62718
1.48602	0.0809637	0.685753
1.48602	0.583803	0.769199
1.48602	0.280812	1.13116
1.78322	0.319646	1.04751
1.78322	0.45363	0.548872
1.78322	0.763684	0.592151
1.78322	0.985602	0.723078
1.78322	0.345416	0.420029
1.78322	0.514336	0.906263
1.78322	0.6017	0.472172
1.78322	0.711268	0.462767
1.78322	0.473653	0.837648
1.78322	0.645524	0.607421
2.13986	0.319256	1.04718
2.13986	0.707325	0.796062
2.13986	0.864588	0.915623
2.13986	0.268147	1.00747
2.13986	0.438922	0.952452
2.13986	0.920072	0.610131
2.13986	0.748998	0.546886
2.13986	0.0518563	0.836309
2.13986	0.905321	0.681022
2.13986	0.87779	1.05117
2.56784	0.204631	1.11249
2.56784	0.790962	0.383019
2.56784	0.817432	0.611218
2.56784	0.554279	0.561801
2.56784	0.378545	0.63661
2.56784	0.161134	1.09994
2.56784	0.830669	0.50219
2.56784	1.07656	0.722519
2.56784	0.748716	0.456494
2.56784	0.394075	0.878579
3.0814	0.705211	0.547257
3.0814	0.415694	1.05876
3.0814	0.381427	1.08343
