block	ave	prog_ave	err
0	56.4313	0.00564313	0
1	-283.049	-0.0113309	0.0116661
2	-69.6349	-0.00987508	-nan
3	91.1827	-0.00512674	-nan
4	11.7835	-0.00386572	-nan
5	106.352	-0.00144889	0.00167093
6	85.0282	-2.72201e-05	0.00121465
7	-226.539	-0.00285555	0.00264565
8	81.2626	-0.00163535	0.000719797
9	165.286	0.00018104	0.00165187
10	10.8226	0.000262969	5.82533e-05
11	0.334322	0.000243841	-nan
12	-17.7883	8.82507e-05	0.000134626
13	286.487	0.00212828	0.00196569
14	-121.115	0.00117896	0.000747851
15	-36.5403	0.000876903	6.40001e-05
16	-163.054	-0.000133824	0.000958594
17	-8.2213	-0.000172063	2.10083e-05
18	-151.918	-0.000962574	0.000768467
19	324.329	0.0007072	0.00161392
20	5.48763	0.000699655	-nan
21	10.4421	0.000715316	-nan
22	330.007	0.00211903	0.00136508
23	-203.587	0.00118245	0.000813217
24	36.0705	0.00127944	-nan
25	-113.94	0.000791999	0.00040978
26	-27.5187	0.000660745	-nan
27	112.07	0.0010374	0.000348947
28	65.2749	0.00122671	-nan
29	-87.2744	0.000894904	0.000240699
30	-82.9872	0.000598336	0.000245184
31	-191.315	-1.8223e-05	0.000597852
32	-165.083	-0.000517923	0.00049206
33	111.828	-0.000173783	0.000327554
34	-271.993	-0.00094594	0.000760495
35	185.143	-0.000405378	0.000509829
36	228.195	0.000222321	0.000615659
37	160.545	0.000638958	0.000409575
38	11.761	0.000652731	-nan
39	-101.173	0.000383481	0.000245556
40	223.313	0.000918793	0.000525424
41	-30.7365	0.000823735	-nan
42	-287.682	0.00013555	0.000668709
43	277.668	0.000763533	0.000620476
44	-62.4661	0.000607752	0.000105172
45	-176.879	0.000210019	0.000383271
46	38.9786	0.000288484	7.14648e-05
47	177.294	0.000651836	0.000357179
48	-185.051	0.000260879	0.000375811
49	39.1891	0.00033404	6.25419e-05
50	106.142	0.000535612	0.000194139
51	-79.7066	0.00037203	0.000144339
52	28.6562	0.000419079	-nan
53	-46.7427	0.000324758	7.44286e-05
54	5.45143	0.000328765	-nan
55	-139.579	7.36449e-05	0.000249055
56	17.1038	0.00010236	2.67691e-05
57	5.72954	0.000110473	-nan
58	257.029	0.000544243	0.000429841
59	-24.7413	0.000493937	-nan
60	34.2828	0.000542041	-nan
61	-207.741	0.000198232	0.000334119
62	-112.153	1.70656e-05	0.000178007
63	-174.362	-0.000255641	0.00027056
64	-91.2045	-0.000392023	0.00013162
65	303.8	7.42204e-05	0.000460213
66	38.1909	0.000130114	5.47401e-05
67	-30.8885	8.27763e-05	4.43013e-05
68	-178.471	-0.000177078	0.000257774
69	-188.875	-0.00044437	0.000264543
70	62.3481	-0.000350297	7.73502e-05
71	-138.562	-0.000537879	0.000181708
72	30.5171	-0.000488707	-nan
73	-119.256	-0.000643259	0.000142758
74	-202.844	-0.00090514	0.000249447
75	-155.902	-0.00109836	0.000161884
76	-175.146	-0.00131156	0.000171461
77	-6.1713	-0.00130266	-nan
78	64.3388	-0.00120473	-nan
79	-95.6631	-0.00130925	-nan
80	49.6747	-0.00123176	-nan
81	-102.147	-0.00134131	-nan
82	-285.743	-0.00166941	0.00029145
83	81.5704	-0.00155243	-nan
84	21.414	-0.00150898	-nan
85	158.255	-0.00130741	0.000118265
86	-225.917	-0.00155206	0.000199355
87	-26.5399	-0.00156458	-nan
88	-244.297	-0.00182149	0.000195105
89	-130.564	-0.00194632	-nan
90	18.53	-0.00190457	-nan
91	156.521	-0.00171374	-nan
92	-111.864	-0.0018156	-nan
93	-19.0995	-0.0018166	-nan
94	11.0853	-0.00178581	-nan
95	-196.053	-0.00197143	3.4956e-05
96	133.262	-0.00181372	-nan
97	-135.721	-0.00193371	-nan
98	194.043	-0.00171817	9.27245e-05
99	-77.9703	-0.00177896	-nan
