step	acc_rate
0	-nan
1	1
2	1
3	0.666667
4	0.75
5	0.8
6	0.666667
7	0.714286
8	0.75
9	0.777778
10	0.7
11	0.727273
12	0.666667
13	0.692308
14	0.714286
15	0.666667
16	0.625
17	0.647059
18	0.666667
19	0.684211
20	0.7
21	0.714286
22	0.727273
23	0.73913
24	0.708333
25	0.68
26	0.653846
27	0.62963
28	0.607143
29	0.586207
30	0.566667
31	0.548387
32	0.53125
33	0.515152
34	0.5
35	0.485714
36	0.472222
37	0.459459
38	0.447368
39	0.435897
40	0.425
41	0.414634
42	0.404762
43	0.395349
44	0.386364
45	0.377778
46	0.369565
47	0.361702
48	0.354167
49	0.346939
50	0.34
51	0.333333
52	0.326923
53	0.320755
54	0.314815
55	0.309091
56	0.303571
57	0.298246
58	0.293103
59	0.288136
60	0.283333
61	0.278689
62	0.274194
63	0.269841
64	0.265625
65	0.261538
66	0.257576
67	0.253731
68	0.25
69	0.246377
70	0.242857
71	0.239437
72	0.236111
73	0.232877
74	0.22973
75	0.226667
76	0.223684
77	0.220779
78	0.217949
79	0.21519
80	0.2125
81	0.209877
82	0.207317
83	0.204819
84	0.202381
85	0.2
86	0.197674
87	0.195402
88	0.193182
89	0.191011
90	0.188889
91	0.186813
92	0.184783
93	0.182796
94	0.180851
95	0.178947
96	0.177083
97	0.175258
98	0.173469
99	0.171717
100	0.17
101	0.168317
102	0.166667
103	0.165049
104	0.163462
105	0.161905
106	0.160377
107	0.158879
108	0.157407
109	0.155963
110	0.154545
111	0.153153
112	0.151786
113	0.150442
114	0.149123
115	0.147826
116	0.146552
117	0.145299
118	0.144068
119	0.142857
120	0.141667
121	0.140496
122	0.139344
123	0.138211
124	0.137097
125	0.136
126	0.134921
127	0.133858
128	0.132812
129	0.131783
130	0.130769
131	0.129771
132	0.128788
133	0.12782
134	0.126866
135	0.125926
136	0.125
137	0.124088
138	0.123188
139	0.122302
140	0.121429
141	0.120567
142	0.119718
143	0.118881
144	0.118056
145	0.117241
146	0.116438
147	0.115646
148	0.114865
149	0.114094
150	0.113333
151	0.112583
152	0.111842
153	0.111111
154	0.11039
155	0.109677
156	0.108974
157	0.10828
158	0.107595
159	0.106918
160	0.10625
161	0.10559
162	0.104938
163	0.104294
164	0.103659
165	0.10303
166	0.10241
167	0.101796
168	0.10119
169	0.100592
170	0.1
171	0.0994152
172	0.0988372
173	0.0982659
174	0.0977011
175	0.0971429
176	0.0965909
177	0.0960452
178	0.0955056
179	0.0949721
180	0.0944444
181	0.0939227
182	0.0934066
183	0.0928962
184	0.0923913
185	0.0918919
186	0.0913978
187	0.0909091
188	0.0904255
189	0.0899471
190	0.0894737
191	0.0890052
192	0.0885417
193	0.0880829
194	0.0876289
195	0.0871795
196	0.0867347
197	0.0862944
198	0.0858586
199	0.0854271
