block	integral	prog_ave	err
0	-0.430077	-0.430077	0
1	-0.452374	-0.441226	0.00788333
2	-0.421937	-0.434796	0.00742828
3	-0.423303	-0.431923	0.00610163
4	-0.434685	-0.432475	0.00490625
5	-0.434227	-0.432767	0.00409722
6	-0.418716	-0.43076	0.00397329
7	-0.400232	-0.426944	0.00498287
8	-0.430145	-0.4273	0.0044419
9	-0.424093	-0.426979	0.00400926
10	-0.429764	-0.427232	0.00365277
11	-0.428742	-0.427358	0.00335054
12	-0.422695	-0.426999	0.00311194
13	-0.439872	-0.427919	0.00302244
14	-0.40134	-0.426147	0.00329971
15	-0.413424	-0.425352	0.00318785
16	-0.417258	-0.424876	0.00303567
17	-0.433676	-0.425365	0.00290613
18	-0.426719	-0.425436	0.00275405
19	-0.397458	-0.424037	0.0029503
20	-0.422675	-0.423972	0.00281053
21	-0.425238	-0.42403	0.00268336
22	-0.424988	-0.424071	0.00256702
23	-0.405984	-0.423318	0.00256831
24	-0.425749	-0.423415	0.00246742
25	-0.423382	-0.423414	0.00237252
26	-0.439833	-0.424022	0.0023613
27	-0.415744	-0.423726	0.0022954
28	-0.409432	-0.423233	0.00226855
29	-0.44674	-0.424017	0.00232432
30	-0.402027	-0.423307	0.00235509
31	-0.436257	-0.423712	0.002316
32	-0.423414	-0.423703	0.00224583
33	-0.415922	-0.423474	0.00219141
34	-0.419728	-0.423367	0.00213141
35	-0.421764	-0.423323	0.00207267
36	-0.415342	-0.423107	0.00202784
37	-0.41261	-0.422831	0.0019932
38	-0.4367	-0.423186	0.00197357
39	-0.418496	-0.423069	0.00192771
40	-0.389824	-0.422258	0.00204413
41	-0.441444	-0.422715	0.00204586
42	-0.42868	-0.422854	0.00200298
43	-0.413567	-0.422643	0.00196855
44	-0.417869	-0.422537	0.00192766
45	-0.429907	-0.422697	0.0018924
46	-0.415302	-0.422539	0.00185867
47	-0.439816	-0.422899	0.00185446
48	-0.427214	-0.422987	0.00181871
49	-0.413259	-0.422793	0.00179271
