ch_index	index	x	y
0	0	1	0
0	1	0.62349	0.781831
0	2	-0.222521	0.974928
0	3	-0.900969	0.433884
0	4	-0.900969	-0.433884
0	5	-0.222521	-0.974928
0	6	0.62349	-0.781831
0	0	1	0
1	0	1	0
1	1	0.62349	0.781831
1	5	-0.222521	-0.974928
1	3	-0.900969	0.433884
1	4	-0.900969	-0.433884
1	2	-0.222521	0.974928
1	6	0.62349	-0.781831
1	0	1	0
2	0	1	0
2	5	-0.222521	-0.974928
2	2	-0.222521	0.974928
2	6	0.62349	-0.781831
2	1	0.62349	0.781831
2	4	-0.900969	-0.433884
2	3	-0.900969	0.433884
2	0	1	0
3	0	1	0
3	1	0.62349	0.781831
3	2	-0.222521	0.974928
3	4	-0.900969	-0.433884
3	5	-0.222521	-0.974928
3	3	-0.900969	0.433884
3	6	0.62349	-0.781831
3	0	1	0
4	0	1	0
4	4	-0.900969	-0.433884
4	2	-0.222521	0.974928
4	3	-0.900969	0.433884
4	1	0.62349	0.781831
4	5	-0.222521	-0.974928
4	6	0.62349	-0.781831
4	0	1	0
