gen	ave_dist
0	34.5816
1	33.0478
2	31.8392
3	30.8632
4	29.7979
5	29.0141
6	28.0431
7	27.1847
8	26.7813
9	26.258
10	25.81
11	25.3479
12	25.0225
13	24.8607
14	24.3937
15	24.0702
16	23.4488
17	22.9644
18	22.5636
19	22.1949
20	21.5443
21	20.9431
22	20.7031
23	20.2968
24	19.7385
25	19.3463
26	19.1294
27	18.8881
28	18.4876
29	18.1953
30	17.9579
31	17.7377
32	17.5256
33	17.2202
34	16.9692
35	16.7347
36	16.6519
37	16.4861
38	16.2991
39	16.1084
40	15.9305
41	15.748
42	15.4618
43	15.1477
44	15.03
45	14.9853
46	14.9271
47	14.8908
48	14.8466
49	14.7886
50	14.7175
51	14.6808
52	14.7508
53	14.6172
54	14.4644
55	14.3871
56	14.3554
57	14.3231
58	14.2717
59	14.3302
60	14.2917
61	14.2717
62	14.1991
63	14.201
64	14.1403
65	14.0837
66	14.0439
67	14.0154
68	13.9826
69	13.9532
70	13.9242
71	13.889
72	13.8823
73	13.8932
74	13.8772
75	13.8313
76	13.6603
77	13.5512
78	13.4429
79	13.3942
80	13.2839
81	13.17
82	13.0504
83	12.9637
84	12.8323
85	12.7102
86	12.6041
87	12.4944
88	12.431
89	12.4267
90	12.3737
91	12.3086
92	12.2086
93	12.0967
94	11.9932
95	11.8416
96	11.7676
97	11.6835
98	11.6013
99	11.5429
100	11.5084
101	11.5049
102	11.4999
103	11.4942
104	11.4903
105	11.4834
106	11.4765
107	11.4738
108	11.4696
109	11.4662
110	11.4551
111	11.4449
112	11.4382
113	11.4594
114	11.4433
115	11.4447
116	11.4385
117	11.4959
118	11.5262
119	11.5056
120	11.4306
121	11.4299
122	11.4472
123	11.4605
124	11.4306
125	11.4306
126	11.4335
127	11.4607
128	11.4322
129	11.4316
130	11.4322
131	11.4322
132	11.4322
133	11.4322
134	11.4322
135	11.4322
136	11.4322
137	11.4322
138	11.4322
139	11.4322
140	11.4322
141	11.4322
142	11.4322
143	11.4322
144	11.4322
145	11.4319
146	11.4447
147	11.4337
148	11.4322
149	11.4322
150	11.4322
151	11.4322
152	11.4322
153	11.4322
154	11.4322
155	11.4322
156	11.4322
157	11.4322
158	11.4322
159	11.4322
160	11.4322
161	11.4322
162	11.4322
163	11.4322
164	11.4322
165	11.4322
166	11.4322
167	11.4316
168	11.4322
169	11.4322
170	11.4322
171	11.4322
172	11.4322
173	11.4322
174	11.4322
175	11.4322
176	11.4322
177	11.4322
178	11.4322
179	11.4322
180	11.4322
181	11.4322
182	11.4322
183	11.4322
184	11.4322
185	11.4322
186	11.4322
187	11.4322
188	11.4322
189	11.4322
190	11.4322
191	11.4322
192	11.4322
193	11.4322
194	11.4322
195	11.4322
196	11.4322
197	11.4322
198	11.4493
199	11.4322
200	11.4322
201	11.4322
202	11.4322
203	11.4322
204	11.4322
205	11.4322
206	11.4322
207	11.4322
208	11.4322
209	11.4322
210	11.4322
211	11.4322
212	11.4322
213	11.4322
214	11.4322
215	11.4322
216	11.4322
217	11.4322
218	11.4322
219	11.4322
220	11.4331
221	11.4322
222	11.4322
223	11.4322
224	11.4322
225	11.4322
226	11.4322
227	11.4322
228	11.4322
229	11.4322
230	11.4322
231	11.4322
232	11.4322
233	11.4322
234	11.4322
235	11.4322
236	11.4322
237	11.4322
238	11.4316
239	11.4319
240	11.4317
241	11.4308
242	11.4299
243	11.4302
244	11.4302
245	11.4954
246	11.4349
247	11.4285
248	11.4235
249	11.4912
250	11.5976
251	11.5667
252	11.5577
253	11.5125
254	11.4745
255	11.3487
256	11.3103
257	11.2518
258	11.1979
259	11.1282
260	11.0286
261	10.9253
262	10.87
263	10.8141
264	10.7456
265	10.6825
266	10.5928
267	10.5626
268	10.5626
269	10.5626
270	10.5626
271	10.5626
272	10.5626
273	10.5626
274	10.5626
275	10.5626
276	10.5626
277	10.5626
278	10.5625
279	10.5626
280	10.5626
281	10.5625
282	10.5617
283	10.5611
284	10.5602
285	10.5579
286	10.5528
287	10.5478
288	10.5431
289	10.5385
290	10.5353
291	10.53
292	10.5257
293	10.5133
294	10.4956
295	10.4575
296	10.4169
297	10.3971
298	10.3869
299	10.379
