gen	dist
0	33.4554
1	32.7485
2	31.2683
3	31.2683
4	30.2125
5	28.4389
6	29.7649
7	29.3323
8	29.3323
9	26.9662
10	26.909
11	25.0641
12	23.82
13	22.1451
14	22.1451
15	20.608
16	21.8089
17	20.2369
18	22.0484
19	18.2849
20	19.3891
21	18.3563
22	18.1025
23	18.1025
24	18.1025
25	18.1219
26	18.1219
27	18.025
28	17.0632
29	16.5707
30	16.5874
31	16.1228
32	14.692
33	14.4444
34	14.4444
35	14.1899
36	13.4823
37	13.3023
38	12.8996
39	12.2335
40	12.2335
41	12.223
42	10.5947
43	10.0727
44	10.1658
45	9.55464
46	9.4058
47	9.43765
48	9.26102
49	9.21041
50	8.62208
51	8.60156
52	8.60156
53	8.11806
54	8.11806
55	8.11806
56	8.11806
57	8.1178
58	8.07376
59	7.63208
60	7.63208
61	7.63208
62	7.63208
63	6.9175
64	7.5858
65	7.61121
66	7.61121
67	7.60658
68	7.5858
69	7.5858
70	7.5858
71	7.5858
72	7.5858
73	7.48945
74	7.4512
75	7.4512
76	7.46867
77	7.4512
78	7.4512
79	7.4512
80	7.4512
81	7.4512
82	7.4512
83	7.4512
84	7.4512
85	7.4512
86	7.4512
87	7.4512
88	7.4512
89	7.4512
90	7.4512
91	7.4512
92	7.4512
93	7.4512
94	7.44362
95	7.44362
96	7.44362
97	7.44362
98	7.44362
99	7.44362
100	7.44362
101	7.44362
102	7.44362
103	7.44362
104	7.44362
105	7.44362
106	7.44362
107	7.44362
108	7.44362
109	7.44362
110	7.44362
111	7.44362
112	7.44362
113	7.44362
114	7.44362
115	7.44362
116	7.44362
117	7.44362
118	7.44362
119	7.44362
120	7.44362
121	7.44362
122	7.44362
123	7.44362
124	7.44362
125	7.44362
126	7.44362
127	7.44362
128	7.44362
129	7.44362
130	7.44362
131	6.24306
132	7.44362
133	7.44362
134	7.44362
135	7.44362
136	7.44362
137	7.44362
138	7.44362
139	7.44362
140	7.44362
141	7.44362
142	7.44362
143	7.44362
144	7.44362
145	7.44362
146	7.44362
147	7.44362
148	7.44362
149	7.44362
150	7.44362
151	7.44362
152	7.44362
153	7.44362
154	7.44362
155	7.44362
156	7.44362
157	7.44362
158	7.44362
159	7.44362
160	7.44362
161	7.44362
162	7.44362
163	7.44362
164	7.44362
165	7.44362
166	7.44362
167	7.44362
168	7.44362
169	7.44362
170	7.44362
171	7.44362
172	7.44362
173	7.44362
174	7.44362
175	7.44362
176	7.44362
177	7.44362
178	7.44362
179	7.44362
180	7.44362
181	7.44362
182	7.44362
183	7.44362
184	7.44362
185	7.44362
186	7.44362
187	7.44362
188	7.44362
189	7.44362
190	7.44362
191	7.44362
192	6.24306
193	7.44362
194	7.44362
195	7.44362
196	7.44362
197	7.44362
198	7.44362
199	7.44362
200	7.44362
201	7.44362
202	7.44362
203	7.44362
204	7.44362
205	7.44362
206	7.44362
207	7.44362
208	7.44362
209	7.44362
210	7.44362
211	7.44362
212	7.44362
213	7.44362
214	7.44362
215	6.24306
216	7.44362
217	7.44362
218	7.44362
219	6.24306
220	6.24306
221	6.55201
222	6.55201
223	6.55201
224	6.55201
225	6.55201
226	6.55201
227	6.55201
228	6.55201
229	6.55201
230	6.55201
231	6.55201
232	6.55201
233	6.55201
234	6.55201
235	6.55201
236	6.55201
237	6.55201
238	6.26294
239	6.28041
240	6.28041
241	6.26052
242	6.24306
243	6.24306
244	6.24306
245	6.24306
246	6.24306
247	6.24306
248	6.24306
249	6.24306
250	6.24306
251	6.24306
252	6.24306
253	6.24306
254	6.24306
255	6.24306
256	6.24306
257	6.24306
258	6.24306
259	6.24306
260	6.24306
261	6.24306
262	6.24306
263	6.24306
264	6.24306
265	6.24306
266	6.24306
267	6.24306
268	6.24306
269	6.24306
270	6.24306
271	6.24306
272	6.24306
273	6.24306
274	6.24306
275	6.24306
276	6.24306
277	6.24306
278	6.24306
279	6.24306
280	6.24306
281	6.24306
282	6.24306
283	6.24306
284	6.24306
285	6.24306
286	6.24306
287	6.24306
288	6.24306
289	6.24306
290	6.24306
291	6.24306
292	6.24306
293	6.24306
294	6.24306
295	6.24306
296	6.24306
297	6.24306
298	6.24306
299	6.24306
