n	index	x	y
0	0	-0.754701	-0.660164
1	17	-0.832092	-0.681482
2	30	-0.732392	-0.893041
3	19	0.00371557	-0.951432
4	21	0.303909	-0.572297
5	22	0.35676	-0.803571
6	31	0.426846	-0.776446
7	3	0.410058	-0.827986
8	6	0.552096	-0.957725
9	29	0.626571	-0.964115
10	32	0.97095	-0.201956
11	1	0.459299	-0.337669
12	20	0.372012	-0.261299
13	16	0.233619	0.160937
14	18	0.863731	0.508103
15	28	0.837711	0.879751
16	26	0.531528	0.940534
17	4	0.312037	0.810967
18	24	0.154538	0.68001
19	12	-0.0135474	0.512095
20	5	-0.257007	0.673133
21	27	-0.54778	0.989221
22	10	-0.870714	0.509307
23	23	-0.75808	0.360274
24	9	-0.965397	0.166357
25	25	-0.894478	-0.092985
26	7	-0.663351	0.144877
27	8	-0.441534	0.0917158
28	15	-0.0564068	0.169834
29	2	-0.0457706	0.143669
30	13	-0.0417242	-0.0114806
31	33	-0.454497	-0.49727
32	14	-0.484213	-0.521464
33	11	-0.533686	-0.613414
34	0	-0.754701	-0.660164
