ch_index	index	x	y
0	0	-0.754701	-0.660164
0	25	-0.894478	-0.092985
0	2	-0.0457706	0.143669
0	14	-0.484213	-0.521464
0	8	-0.441534	0.0917158
0	1	0.459299	-0.337669
0	23	-0.75808	0.360274
0	22	0.35676	-0.803571
0	30	-0.732392	-0.893041
0	19	0.00371557	-0.951432
0	4	0.312037	0.810967
0	33	-0.454497	-0.49727
0	15	-0.0564068	0.169834
0	13	-0.0417242	-0.0114806
0	3	0.410058	-0.827986
0	12	-0.0135474	0.512095
0	10	-0.870714	0.509307
0	17	-0.832092	-0.681482
0	20	0.372012	-0.261299
0	9	-0.965397	0.166357
0	18	0.863731	0.508103
0	21	0.303909	-0.572297
0	7	-0.663351	0.144877
0	6	0.552096	-0.957725
0	29	0.626571	-0.964115
0	28	0.837711	0.879751
0	26	0.531528	0.940534
0	27	-0.54778	0.989221
0	16	0.233619	0.160937
0	24	0.154538	0.68001
0	32	0.97095	-0.201956
0	5	-0.257007	0.673133
0	31	0.426846	-0.776446
0	11	-0.533686	-0.613414
0	0	-0.754701	-0.660164
1	0	-0.754701	-0.660164
1	26	0.531528	0.940534
1	20	0.372012	-0.261299
1	19	0.00371557	-0.951432
1	4	0.312037	0.810967
1	25	-0.894478	-0.092985
1	6	0.552096	-0.957725
1	7	-0.663351	0.144877
1	17	-0.832092	-0.681482
1	28	0.837711	0.879751
1	10	-0.870714	0.509307
1	11	-0.533686	-0.613414
1	1	0.459299	-0.337669
1	13	-0.0417242	-0.0114806
1	14	-0.484213	-0.521464
1	15	-0.0564068	0.169834
1	16	0.233619	0.160937
1	8	-0.441534	0.0917158
1	18	0.863731	0.508103
1	3	0.410058	-0.827986
1	21	0.303909	-0.572297
1	2	-0.0457706	0.143669
1	22	0.35676	-0.803571
1	23	-0.75808	0.360274
1	32	0.97095	-0.201956
1	5	-0.257007	0.673133
1	12	-0.0135474	0.512095
1	27	-0.54778	0.989221
1	29	0.626571	-0.964115
1	9	-0.965397	0.166357
1	30	-0.732392	-0.893041
1	31	0.426846	-0.776446
1	24	0.154538	0.68001
1	33	-0.454497	-0.49727
1	0	-0.754701	-0.660164
2	0	-0.754701	-0.660164
2	7	-0.663351	0.144877
2	30	-0.732392	-0.893041
2	33	-0.454497	-0.49727
2	13	-0.0417242	-0.0114806
2	15	-0.0564068	0.169834
2	6	0.552096	-0.957725
2	22	0.35676	-0.803571
2	8	-0.441534	0.0917158
2	23	-0.75808	0.360274
2	5	-0.257007	0.673133
2	11	-0.533686	-0.613414
2	31	0.426846	-0.776446
2	1	0.459299	-0.337669
2	10	-0.870714	0.509307
2	17	-0.832092	-0.681482
2	16	0.233619	0.160937
2	9	-0.965397	0.166357
2	18	0.863731	0.508103
2	20	0.372012	-0.261299
2	25	-0.894478	-0.092985
2	12	-0.0135474	0.512095
2	21	0.303909	-0.572297
2	28	0.837711	0.879751
2	32	0.97095	-0.201956
2	24	0.154538	0.68001
2	3	0.410058	-0.827986
2	14	-0.484213	-0.521464
2	2	-0.0457706	0.143669
2	29	0.626571	-0.964115
2	4	0.312037	0.810967
2	27	-0.54778	0.989221
2	19	0.00371557	-0.951432
2	26	0.531528	0.940534
2	0	-0.754701	-0.660164
