gen	results
0	32
1	31
2	52
3	11
4	2
5	64
6	3
7	21
8	17
9	88
10	6
11	5
12	20
13	8
14	56
15	6
16	7
17	30
18	14
19	18
20	26
21	31
22	20
23	12
24	16
25	20
26	77
27	8
28	45
29	20
30	17
31	55
32	37
33	73
34	16
35	0
36	66
37	2
38	32
39	9
40	46
41	42
42	80
43	58
44	0
45	78
46	10
47	50
48	67
49	31
50	0
51	31
52	44
53	44
54	24
55	16
56	27
57	14
58	48
59	28
60	38
61	9
62	27
63	3
64	14
65	56
66	1
67	4
68	69
69	3
70	46
71	5
72	44
73	8
74	15
75	20
76	41
77	14
78	23
79	0
80	9
81	68
82	67
83	46
84	0
85	2
86	1
87	13
88	7
89	10
90	7
91	9
92	42
93	4
94	26
95	17
96	0
97	13
98	33
99	5
100	18
101	19
102	34
103	24
104	7
105	6
106	10
107	50
108	22
109	2
110	22
111	23
112	36
113	18
114	17
115	26
116	12
117	90
118	2
119	6
120	83
121	6
122	31
123	18
124	21
125	67
126	18
127	81
128	34
129	73
130	11
131	15
132	64
133	14
134	3
135	11
136	9
137	31
138	6
139	27
140	9
141	8
142	50
143	8
144	83
145	8
146	3
147	10
148	14
149	4
150	0
151	58
152	73
153	22
154	54
155	22
156	6
157	5
158	11
159	11
160	86
161	29
162	72
163	30
164	3
165	3
166	4
167	20
168	56
169	24
170	16
171	23
172	76
173	20
174	13
175	20
176	59
177	32
178	5
179	77
180	20
181	96
182	62
183	36
184	25
185	42
186	23
187	0
188	0
189	13
190	0
191	52
192	54
193	54
194	4
195	9
196	42
197	37
198	62
199	66
200	0
201	4
202	30
203	37
204	2
205	77
206	29
207	49
208	85
209	69
210	8
211	12
212	24
213	28
214	48
215	31
216	5
217	30
218	70
219	0
220	3
221	13
222	18
223	7
224	25
225	1
226	63
227	1
228	24
229	96
230	7
231	1
232	21
233	5
234	3
235	15
236	1
237	37
238	1
239	32
240	22
241	38
242	7
243	1
244	25
245	42
246	6
247	39
248	55
249	39
250	1
251	3
252	35
253	22
254	3
255	36
256	22
257	17
258	19
259	12
260	70
261	8
262	19
263	90
264	7
265	17
266	12
267	0
268	36
269	37
270	49
271	26
272	13
273	4
274	32
275	39
276	19
277	91
278	83
279	4
280	28
281	40
282	14
283	16
284	56
285	72
286	3
287	17
288	4
289	74
290	6
291	11
292	18
293	6
294	63
295	18
296	47
297	21
298	28
299	34
300	18
301	34
302	33
303	23
304	35
305	5
306	57
307	92
308	77
309	18
310	55
311	7
312	46
313	2
314	9
315	97
316	14
317	85
318	40
319	31
320	17
321	55
322	29
323	15
324	1
325	50
326	92
327	3
328	18
329	13
330	12
331	16
332	25
333	16
334	20
335	14
336	8
337	8
338	73
339	13
340	60
341	20
342	12
343	9
344	10
345	3
346	19
347	5
348	87
349	64
350	14
351	58
352	10
353	13
354	14
355	6
356	25
357	68
358	7
359	2
360	45
361	2
362	43
363	26
364	37
365	19
366	9
367	4
368	49
369	47
370	13
371	26
372	21
373	22
374	26
375	5
376	4
377	11
378	40
379	16
380	50
381	76
382	19
383	12
384	45
385	27
386	8
387	34
388	3
389	9
390	35
391	13
392	0
393	35
394	35
395	0
396	5
397	49
398	27
399	29
400	4
401	84
402	42
403	47
404	1
405	24
406	2
407	40
408	12
409	30
410	19
411	12
412	30
413	74
414	7
415	21
416	9
417	11
418	14
419	89
420	19
421	13
422	1
423	33
424	38
425	83
426	69
427	48
428	21
429	40
430	22
431	51
432	22
433	18
434	7
435	90
436	24
437	16
438	27
439	8
440	14
441	75
442	3
443	52
444	5
445	19
446	14
447	9
448	28
449	71
450	30
451	6
452	75
453	19
454	23
455	3
456	17
457	1
458	26
459	12
460	22
461	12
462	15
463	21
464	8
465	19
466	5
467	31
468	3
469	26
470	34
471	28
472	9
473	8
474	28
475	33
476	7
477	15
478	35
479	24
480	9
481	17
482	83
483	72
484	4
485	34
486	11
487	45
488	37
489	59
490	18
491	75
492	3
493	76
494	41
495	2
496	2
497	6
498	78
499	43
500	3
501	15
502	23
503	25
504	11
505	35
506	55
507	17
508	28
509	13
510	0
511	26
512	48
513	40
514	37
515	0
516	37
517	44
518	29
519	31
520	37
521	24
522	33
523	12
524	24
525	59
526	43
527	2
528	17
529	20
530	37
531	4
532	13
533	20
534	16
535	66
536	84
537	67
538	16
539	41
540	5
541	11
542	41
543	8
544	3
545	22
546	25
547	4
548	17
549	51
550	21
551	69
552	11
553	67
554	0
555	3
556	14
557	69
558	27
559	8
560	97
561	18
562	15
563	9
564	62
565	62
566	9
567	41
568	39
569	63
570	15
571	65
572	75
573	42
574	27
575	24
576	16
577	20
578	13
579	21
580	13
581	33
582	19
583	51
584	2
585	19
586	23
587	20
588	61
589	29
590	4
591	40
592	11
593	4
594	19
595	13
596	15
597	58
598	69
599	19
600	17
601	9
602	49
603	32
604	4
605	17
606	38
607	2
608	32
609	69
610	78
611	11
612	1
613	13
614	27
615	58
616	41
617	8
618	4
619	3
620	31
621	12
622	0
623	15
624	12
625	4
626	9
627	37
628	8
629	3
630	24
631	0
632	47
633	87
634	12
635	9
636	3
637	19
638	79
639	28
640	77
641	20
642	42
643	40
644	31
645	57
646	13
647	52
648	3
649	15
650	59
651	43
652	18
653	1
654	87
655	2
656	3
657	52
658	57
659	4
660	24
661	39
662	25
663	33
664	17
665	50
666	74
667	51
668	0
669	28
670	3
671	1
672	10
673	60
674	13
675	15
676	3
677	30
678	2
679	44
680	17
681	15
682	11
683	20
684	19
685	40
686	7
687	84
688	51
689	23
690	3
691	9
692	19
693	0
694	17
695	70
696	29
697	9
698	6
699	64
700	34
701	65
702	11
703	2
704	42
705	33
706	43
707	38
708	2
709	79
710	12
711	61
712	9
713	5
714	23
715	91
716	5
717	6
718	72
719	3
720	87
721	0
722	31
723	35
724	44
725	33
726	15
727	23
728	49
729	19
730	6
731	2
732	24
733	36
734	66
735	28
736	15
737	3
738	67
739	13
740	28
741	20
742	28
743	24
744	6
745	16
746	19
747	79
748	99
749	5
750	20
751	8
752	62
753	4
754	22
755	5
756	6
757	8
758	3
759	77
760	36
761	59
762	31
763	42
764	5
765	3
766	16
767	4
768	36
769	21
770	24
771	6
772	14
773	41
774	14
775	64
776	13
777	23
778	53
779	44
780	8
781	45
782	15
783	13
784	44
785	44
786	96
787	4
788	0
789	72
790	0
791	16
792	10
793	46
794	3
795	3
796	29
797	33
798	24
799	11
800	41
801	14
802	12
803	88
804	51
805	10
806	3
807	7
808	49
809	21
810	37
811	9
812	27
813	7
814	37
815	13
816	4
817	7
818	15
819	16
820	16
821	53
822	0
823	49
824	11
825	22
826	42
827	59
828	66
829	29
830	18
831	33
832	54
833	24
834	34
835	6
836	30
837	8
838	25
839	2
840	21
841	44
842	42
843	26
844	11
845	36
846	7
847	8
848	3
849	19
850	56
851	12
852	91
853	28
854	52
855	32
856	23
857	7
858	50
859	20
860	13
861	2
862	85
863	75
864	5
865	22
866	31
867	30
868	50
869	25
870	11
871	0
872	18
873	3
874	41
875	6
876	27
877	7
878	64
879	17
880	44
881	17
882	16
883	78
884	7
885	5
886	77
887	15
888	64
889	10
890	0
891	60
892	7
893	27
894	1
895	27
896	46
897	32
898	28
899	11
900	57
901	44
902	28
903	48
904	3
905	61
906	89
907	0
908	0
909	44
910	28
911	3
912	14
913	12
914	29
915	37
916	29
917	39
918	3
919	71
920	19
921	10
922	40
923	14
924	45
925	75
926	35
927	4
928	10
929	70
930	51
931	0
932	21
933	26
934	38
935	71
936	21
937	8
938	26
939	13
940	19
941	4
942	12
943	60
944	66
945	5
946	56
947	1
948	25
949	14
950	20
951	17
952	16
953	15
954	59
955	12
956	0
957	24
958	18
959	2
960	1
961	2
962	22
963	6
964	17
965	12
966	6
967	58
968	3
969	40
970	45
971	20
972	24
973	37
974	33
975	28
976	19
977	9
978	88
979	3
980	23
981	33
982	2
983	28
984	94
985	25
986	43
987	5
988	3
989	51
990	36
991	6
992	41
993	26
994	16
995	33
996	29
997	50
998	56
999	6
