gen	selected
0	38
1	12
2	2
3	12
4	35
5	45
6	9
7	0
8	19
9	34
10	20
11	5
12	11
13	32
14	28
15	19
16	33
17	23
18	13
19	37
20	49
21	14
22	0
23	19
24	3
25	45
26	20
27	16
28	47
29	1
30	33
31	11
32	8
33	10
34	23
35	6
36	8
37	21
38	36
39	7
40	10
41	22
42	12
43	43
44	6
45	21
46	32
47	18
48	41
49	27
50	0
51	22
52	4
53	41
54	16
55	14
56	2
57	9
58	23
59	9
60	5
61	43
62	10
63	2
64	47
65	5
66	33
67	17
68	37
69	22
70	1
71	28
72	27
73	7
74	1
75	25
76	33
77	48
78	48
79	22
80	20
81	1
82	14
83	8
84	45
85	23
86	33
87	22
88	16
89	25
90	11
91	19
92	27
93	9
94	47
95	21
96	16
97	6
98	11
99	6
100	37
101	45
102	2
103	0
104	32
105	30
106	10
107	16
108	30
109	5
110	25
111	43
112	18
113	15
114	27
115	33
116	33
117	48
118	31
119	17
120	9
121	15
122	35
123	28
124	7
125	25
126	28
127	13
128	0
129	32
130	13
131	48
132	43
133	27
134	1
135	6
136	40
137	37
138	8
139	40
140	32
141	0
142	6
143	32
144	30
145	4
146	13
147	32
148	13
149	34
150	29
151	6
152	14
153	1
154	23
155	22
156	14
157	45
158	5
159	38
160	33
161	27
162	49
163	29
164	8
165	32
166	30
167	37
168	33
169	13
170	10
171	4
172	33
173	32
174	49
175	6
176	19
177	49
178	9
179	46
180	19
181	5
182	47
183	0
184	15
185	2
186	9
187	42
188	18
189	32
190	30
191	33
192	26
193	42
194	19
195	14
196	4
197	10
198	1
199	37
200	46
201	42
202	30
203	15
204	19
205	9
206	11
207	27
208	12
209	43
210	3
211	46
212	3
213	46
214	31
215	15
216	42
217	36
218	39
219	22
220	36
221	2
222	1
223	28
224	2
225	9
226	9
227	21
228	28
229	36
230	26
231	2
232	43
233	3
234	35
235	36
236	13
237	48
238	43
239	10
240	29
241	3
242	8
243	43
244	24
245	34
246	9
247	16
248	49
249	10
250	34
251	11
252	17
253	13
254	6
255	31
256	46
257	23
258	39
259	25
260	3
261	26
262	1
263	10
264	31
265	11
266	1
267	17
268	42
269	15
270	3
271	2
272	0
273	27
274	7
275	44
276	38
277	21
278	6
279	3
280	39
281	6
282	12
283	21
284	35
285	41
286	3
287	25
288	21
289	31
290	21
291	10
292	45
293	27
294	28
295	49
296	48
297	25
298	2
299	16
300	42
301	48
302	5
303	6
304	14
305	41
306	3
307	35
308	28
309	18
310	48
311	8
312	38
313	11
314	6
315	30
316	23
317	42
318	8
319	37
320	2
321	30
322	36
323	18
324	45
325	20
326	16
327	21
328	18
329	10
330	9
331	28
332	42
333	4
334	23
335	5
336	6
337	3
338	35
339	38
340	18
341	17
342	43
343	11
344	1
345	44
346	2
347	1
348	14
349	27
350	34
351	26
352	46
353	2
354	26
355	32
356	15
357	48
358	4
359	33
360	9
361	19
362	9
363	0
364	5
365	14
366	3
367	0
368	31
369	5
370	11
371	47
372	47
373	16
374	35
375	0
376	2
377	12
378	11
379	37
380	33
381	24
382	21
383	39
384	43
385	13
386	43
387	36
388	37
389	18
390	26
391	11
392	16
393	21
394	9
395	23
396	13
397	8
398	42
399	4
400	32
401	29
402	20
403	45
404	3
405	40
406	0
407	9
408	42
409	15
410	22
411	4
412	5
413	49
414	24
415	12
416	4
417	8
418	31
419	48
420	13
421	26
422	34
423	33
424	38
425	40
426	2
427	7
428	1
429	38
430	18
431	4
432	16
433	17
434	47
435	26
436	43
437	3
438	42
439	7
440	0
441	13
442	31
443	15
444	9
445	18
446	33
447	49
448	41
449	30
450	22
451	23
452	22
453	19
454	2
455	24
456	21
457	43
458	38
459	14
460	30
461	29
462	26
463	0
464	15
465	33
466	37
467	27
468	0
469	16
470	5
471	42
472	19
473	13
474	21
475	27
476	34
477	12
478	11
479	3
480	11
481	2
482	8
483	24
484	34
485	4
486	35
487	2
488	29
489	35
490	20
491	25
492	17
493	32
494	38
495	2
496	33
497	4
498	44
499	31
500	2
501	22
502	4
503	47
504	44
505	31
506	21
507	7
508	8
509	36
510	46
511	21
512	9
513	13
514	26
515	41
516	31
517	19
518	28
519	32
520	21
521	44
522	33
523	26
524	34
525	9
526	24
527	20
528	49
529	20
530	13
531	36
532	14
533	1
534	31
535	12
536	35
537	8
538	13
539	39
540	16
541	46
542	5
543	33
544	31
545	16
546	20
547	37
548	16
549	16
550	47
551	41
552	0
553	25
554	36
555	7
556	18
557	17
558	29
559	19
560	21
561	30
562	33
563	6
564	15
565	46
566	7
567	7
568	8
569	3
570	17
571	16
572	10
573	1
574	17
575	23
576	0
577	16
578	0
579	49
580	0
581	42
582	15
583	18
584	32
585	31
586	13
587	19
588	20
589	10
590	39
591	49
592	26
