Step	Temp
0	1.81
1	1.81
2	1.81
3	1.81
4	1.81
5	1.81
6	1.81
7	1.81001
8	1.81001
9	1.81001
10	1.81001
11	1.81001
12	1.81002
13	1.81002
14	1.81002
15	1.81003
16	1.81003
17	1.81003
18	1.81004
19	1.81004
20	1.81005
21	1.81005
22	1.81006
23	1.81006
24	1.81007
25	1.81007
26	1.81008
27	1.81009
28	1.81009
29	1.8101
30	1.81011
31	1.81011
32	1.81012
33	1.81013
34	1.81014
35	1.81014
36	1.81015
37	1.81016
38	1.81017
39	1.81018
40	1.81019
41	1.8102
42	1.81021
43	1.81022
44	1.81023
45	1.81024
46	1.81025
47	1.81026
48	1.81027
49	1.81028
50	1.81029
51	1.81031
52	1.81032
53	1.81033
54	1.81034
55	1.81036
56	1.81037
57	1.81038
58	1.8104
59	1.81041
60	1.81043
61	1.81044
62	1.81045
63	1.81047
64	1.81048
65	1.8105
66	1.81052
67	1.81053
68	1.81055
69	1.81056
70	1.81058
71	1.8106
72	1.81061
73	1.81063
74	1.81065
75	1.81067
76	1.81069
77	1.8107
78	1.81072
79	1.81074
80	1.81076
81	1.81078
82	1.8108
83	1.81082
84	1.81084
85	1.81086
86	1.81088
87	1.81091
88	1.81093
89	1.81095
90	1.81097
91	1.81099
92	1.81102
93	1.81104
94	1.81106
95	1.81109
96	1.81111
97	1.81113
98	1.81116
99	1.81118
100	1.81121
101	1.81123
102	1.81126
103	1.81129
104	1.81131
105	1.81134
106	1.81137
107	1.81139
108	1.81142
109	1.81145
110	1.81148
111	1.81151
112	1.81154
113	1.81156
114	1.81159
115	1.81162
116	1.81165
117	1.81168
118	1.81172
119	1.81175
120	1.81178
121	1.81181
122	1.81184
123	1.81187
124	1.81191
125	1.81194
126	1.81197
127	1.812
128	1.81204
129	1.81207
130	1.81211
131	1.81214
132	1.81218
133	1.81221
134	1.81225
135	1.81228
136	1.81232
137	1.81236
138	1.81239
139	1.81243
140	1.81247
141	1.81251
142	1.81254
143	1.81258
144	1.81262
