INITIAL DISTRIBUTION	MB
BIN SIZE	0.179382
T_SIGN	BIN	VMIN	VMAX	AVE	PROG_AVE_POFV	ERROR
1	0	0.179382	0.358763	0.0545	0.0545	0
1	1	0.358763	0.538145	0.224	0.224	0
1	2	0.538145	0.717527	0.527	0.527	0
1	3	0.717527	0.896908	1.551	1.551	0
1	4	0.896908	1.07629	4.9295	4.9295	0
1	5	1.07629	1.25567	4.688	4.688	0
1	6	1.25567	1.43505	5.871	5.871	0
1	7	1.43505	1.61443	7.204	7.204	0
1	8	1.61443	1.79382	8.241	8.241	0
1	9	1.79382	1.9732	11.081	11.081	0
1	10	1.9732	2.15258	7.8075	7.8075	0
1	11	2.15258	2.33196	8.483	8.483	0
1	12	2.33196	2.51134	10.1495	10.1495	0
1	13	2.51134	2.69072	7.122	7.122	0
1	14	2.69072	2.87011	5.794	5.794	0
1	15	2.87011	3.04949	6.1165	6.1165	0
1	16	3.04949	3.22887	4.187	4.187	0
1	17	3.22887	3.40825	3.2935	3.2935	0
1	18	3.40825	3.58763	3.164	3.164	0
1	19	3.58763	3.76701	1.419	1.419	0
1	20	3.76701	3.9464	2.2735	2.2735	0
1	21	3.9464	4.12578	0.8545	0.8545	0
1	22	4.12578	4.30516	0.797	0.797	0
1	23	4.30516	4.48454	0.6355	0.6355	0
1	24	4.48454	4.66392	0.2605	0.2605	0
1	25	4.66392	4.8433	0.0145	0.0145	0
1	26	4.8433	5.02269	0.0745	0.0745	0
1	27	5.02269	5.20207	0.1305	0.1305	0
1	28	5.20207	5.38145	0.0655	0.0655	0
1	29	5.38145	5.56083	0.002	0.002	0

1	0	0.179382	0.358763	0.131	0.09275	0.0270468
1	1	0.358763	0.538145	0.5	0.362	0.0975807
1	2	0.538145	0.717527	0.625	0.576	0.0346482
1	3	0.717527	0.896908	2.4085	1.97975	0.303172
1	4	0.896908	1.07629	3.4765	4.203	0.513713
1	5	1.07629	1.25567	7.925	6.3065	1.14445
1	6	1.25567	1.43505	6.692	6.2815	0.290267
1	7	1.43505	1.61443	8.476	7.84	0.44972
1	8	1.61443	1.79382	7.7545	7.99775	0.172004
1	9	1.79382	1.9732	8.5195	9.80025	0.905627
1	10	1.9732	2.15258	9.7985	8.803	0.703925
1	11	2.15258	2.33196	7.287	7.885	0.42285
1	12	2.33196	2.51134	8.5165	9.333	0.577353
1	13	2.51134	2.69072	6.1425	6.63225	0.346306
1	14	2.69072	2.87011	4.6875	5.24075	0.391207
1	15	2.87011	3.04949	4.468	5.29225	0.582833
1	16	3.04949	3.22887	3.767	3.977	0.148492
1	17	3.22887	3.40825	2.3975	2.8455	0.316784
1	18	3.40825	3.58763	2.9895	3.07675	0.0616951
1	19	3.58763	3.76701	2.674	2.0465	0.44371
1	20	3.76701	3.9464	3.34	2.80675	0.377065
1	21	3.9464	4.12578	1.679	1.26675	0.291505
1	22	4.12578	4.30516	0.784	0.7905	0.00459619
1	23	4.30516	4.48454	0.7345	0.685	0.0350018
1	24	4.48454	4.66392	0.2435	0.252	0.00601041
1	25	4.66392	4.8433	0.123	0.06875	0.0383605
1	26	4.8433	5.02269	0.4015	0.238	0.115612
1	27	5.02269	5.20207	0.352	0.24125	0.0783121
1	28	5.20207	5.38145	0.0595	0.0625	0.00212132
1	29	5.38145	5.56083	0.0285	0.01525	0.00936916

1	0	0.179382	0.358763	0.0465	0.0773333	0.0219903
1	1	0.358763	0.538145	0.3475	0.357167	0.0651734
1	2	0.538145	0.717527	0.79	0.647333	0.0626566
1	3	0.717527	0.896908	1.6185	1.85933	0.22476
1	4	0.896908	1.07629	4.9285	4.44483	0.39532
1	5	1.07629	1.25567	5.8545	6.15583	0.772822
1	6	1.25567	1.43505	8.721	7.09467	0.691573
1	7	1.43505	1.61443	7.976	7.88533	0.30209
1	8	1.61443	1.79382	8.245	8.08017	0.132956
1	9	1.79382	1.9732	9.1015	9.56733	0.632995
1	10	1.9732	2.15258	7.751	8.45233	0.549732
1	11	2.15258	2.33196	7.4835	7.75117	0.302338
1	12	2.33196	2.51134	7.219	8.62833	0.692233
1	13	2.51134	2.69072	6.298	6.52083	0.248147
1	14	2.69072	2.87011	4.679	5.0535	0.302314
1	15	2.87011	3.04949	5.433	5.33917	0.390439
1	16	3.04949	3.22887	4.3675	4.10717	0.145243
1	17	3.22887	3.40825	4.8265	3.50583	0.579046
1	18	3.40825	3.58763	2.6455	2.933	0.124369
1	19	3.58763	3.76701	2.325	2.13933	0.305363
1	20	3.76701	3.9464	2.2105	2.608	0.299206
1	21	3.9464	4.12578	1.687	1.40683	0.225497
1	22	4.12578	4.30516	0.599	0.726667	0.0522097
1	23	4.30516	4.48454	0.6965	0.688833	0.0235435
1	24	4.48454	4.66392	0.0775	0.193833	0.0476616
1	25	4.66392	4.8433	0.034	0.0571667	0.0272665
1	26	4.8433	5.02269	0.4235	0.299833	0.092138
1	27	5.02269	5.20207	0.261	0.247833	0.052484
1	28	5.20207	5.38145	0.254	0.126333	0.0521389
1	29	5.38145	5.56083	0.4075	0.146	0.106939

1	0	0.179382	0.358763	0.403	0.15875	0.0724121
1	1	0.358763	0.538145	0.596	0.416875	0.0711553
1	2	0.538145	0.717527	2.4515	1.09837	0.39343
1	3	0.717527	0.896908	3.98	2.3895	0.489105
1	4	0.896908	1.07629	4.998	4.58312	0.319766
1	5	1.07629	1.25567	3.7375	5.55125	0.781087
1	6	1.25567	1.43505	4.5235	6.45187	0.760864
1	7	1.43505	1.61443	7.937	7.89825	0.226843
1	8	1.61443	1.79382	5.6135	7.4635	0.543279
1	9	1.79382	1.9732	9.572	9.5685	0.474747
1	10	1.9732	2.15258	8.141	8.3745	0.417772
1	11	2.15258	2.33196	10.3955	8.41225	0.615785
1	12	2.33196	2.51134	6.321	8.0515	0.720482
1	13	2.51134	2.69072	6.3775	6.485	0.18868
1	14	2.69072	2.87011	7.0125	5.54325	0.480937
1	15	2.87011	3.04949	5.7125	5.4325	0.30378
1	16	3.04949	3.22887	4.014	4.08387	0.110784
1	17	3.22887	3.40825	4.5055	3.75575	0.485229
1	18	3.40825	3.58763	2.782	2.89525	0.0988402
1	19	3.58763	3.76701	1.8	2.0545	0.240518
1	20	3.76701	3.9464	2.466	2.5725	0.226501
1	21	3.9464	4.12578	1.4635	1.421	0.169567
1	22	4.12578	4.30516	0.481	0.66525	0.0660477
1	23	4.30516	4.48454	0.2735	0.585	0.0916396
1	24	4.48454	4.66392	0.4765	0.2645	0.070874
