INITIAL DISTRIBUTION	DELTA
BIN SIZE	0.188562
T_SIGN	BIN	VMIN	VMAX	AVE	PROG_AVE_POFV	ERROR
1	0	0.188562	0.377124	0	0	0
1	1	0.377124	0.565685	0	0	0
1	2	0.565685	0.754247	0	0	0
1	3	0.754247	0.942809	0	0	0
1	4	0.942809	1.13137	0	0	0
1	5	1.13137	1.31993	0	0	0
1	6	1.31993	1.50849	0	0	0
1	7	1.50849	1.69706	0	0	0
1	8	1.69706	1.88562	0	0	0
1	9	1.88562	2.07418	0	0	0
1	10	2.07418	2.26274	0	0	0
1	11	2.26274	2.4513	108	108	0
1	12	2.4513	2.63987	0	0	0
1	13	2.63987	2.82843	0	0	0
1	14	2.82843	3.01699	0	0	0
1	15	3.01699	3.20555	0	0	0
1	16	3.20555	3.39411	0	0	0
1	17	3.39411	3.58267	0	0	0
1	18	3.58267	3.77124	0	0	0
1	19	3.77124	3.9598	0	0	0
1	20	3.9598	4.14836	0	0	0
1	21	4.14836	4.33692	0	0	0
1	22	4.33692	4.52548	0	0	0
1	23	4.52548	4.71405	0	0	0
1	24	4.71405	4.90261	0	0	0
1	25	4.90261	5.09117	0	0	0
1	26	5.09117	5.27973	0	0	0
1	27	5.27973	5.46829	0	0	0
1	28	5.46829	5.65685	0	0	0
1	29	5.65685	5.84542	0	0	0

1	0	0.188562	0.377124	0	0	0
1	1	0.377124	0.565685	0	0	0
1	2	0.565685	0.754247	0	0	0
1	3	0.754247	0.942809	0	0	0
1	4	0.942809	1.13137	0	0	0
1	5	1.13137	1.31993	0	0	0
1	6	1.31993	1.50849	0	0	0
1	7	1.50849	1.69706	0	0	0
1	8	1.69706	1.88562	0	0	0
1	9	1.88562	2.07418	0	0	0
1	10	2.07418	2.26274	0	0	0
1	11	2.26274	2.4513	108	108	0
1	12	2.4513	2.63987	0	0	0
1	13	2.63987	2.82843	0	0	0
1	14	2.82843	3.01699	0	0	0
1	15	3.01699	3.20555	0	0	0
1	16	3.20555	3.39411	0	0	0
1	17	3.39411	3.58267	0	0	0
1	18	3.58267	3.77124	0	0	0
1	19	3.77124	3.9598	0	0	0
1	20	3.9598	4.14836	0	0	0
1	21	4.14836	4.33692	0	0	0
1	22	4.33692	4.52548	0	0	0
1	23	4.52548	4.71405	0	0	0
1	24	4.71405	4.90261	0	0	0
1	25	4.90261	5.09117	0	0	0
1	26	5.09117	5.27973	0	0	0
1	27	5.27973	5.46829	0	0	0
1	28	5.46829	5.65685	0	0	0
1	29	5.65685	5.84542	0	0	0

1	0	0.188562	0.377124	0	0	0
1	1	0.377124	0.565685	0	0	0
