TEMPERATURE	X_AVE	ERROR
2	1.34945	0.00387707
1.925	1.48133	0.00783273
1.85	1.59823	0.00826231
1.775	1.74357	0.00592359
1.7	1.89961	0.011105
1.625	2.11184	0.0098638
1.55	2.35091	0.0100201
1.475	2.66153	0.0102241
1.4	2.98131	0.0129194
1.325	3.3854	0.021799
1.25	3.94858	0.0275648
1.175	4.67852	0.0391568
1.1	5.6087	0.0668755
1.025	6.91309	0.0620839
0.95	8.46269	0.0705109
0.875	11.0188	0.146261
0.8	15.3868	0.222461
0.725	21.7211	0.320122
0.65	32.1929	0.610275
0.575	50.2027	0.895759
0.5	81.694	1.0015
