TEMPERATURE	U_AVE	ERROR
2	-0.462385	0.000238443
1.925	-0.477412	0.000276893
1.85	-0.493434	0.000265231
1.775	-0.510491	0.000193431
1.7	-0.528922	0.000234143
1.625	-0.547941	0.000322969
1.55	-0.568036	0.000290067
1.475	-0.590535	0.000259051
1.4	-0.61327	0.000316799
1.325	-0.637708	0.000316699
1.25	-0.664111	0.000273614
1.175	-0.69135	0.000370062
1.1	-0.720126	0.000322779
1.025	-0.75137	0.000275592
0.95	-0.782952	0.000448831
0.875	-0.814889	0.000444403
0.8	-0.848021	0.000491835
0.725	-0.881575	0.000649756
0.65	-0.913246	0.000692535
0.575	-0.945259	0.000498529
0.5	-0.974432	0.000611356
