T_SIGN	BLOCK	ACTUAL_T	T_AVE	ERROR
1	1	1.09935	1.09935	0
1	2	1.09764	1.09849	0.000603655
1	3	1.09594	1.09764	0.000803075
1	4	1.09425	1.09679	0.00094902
1	5	1.09259	1.09595	0.00106876
1	6	1.09095	1.09512	0.00117162
1	7	1.08934	1.09429	0.00126209
1	8	1.08776	1.09348	0.00134283
1	9	1.08621	1.09267	0.00141562
1	10	1.08469	1.09187	0.00148178
1	11	1.0832	1.09108	0.00154243
1	12	1.08174	1.09031	0.00159846
1	13	1.08029	1.08954	0.00165071
1	14	1.07885	1.08877	0.00169997
1	15	1.07742	1.08802	0.00174702
1	16	1.07598	1.08726	0.00179254
1	17	1.07452	1.08651	0.00183724
1	18	1.07303	1.08576	0.00188178
1	19	1.07149	1.08501	0.00192678
1	20	1.06991	1.08426	0.00197284
1	21	1.06827	1.0835	0.00202054
1	22	1.06655	1.08273	0.00207036
1	23	1.06475	1.08194	0.0021227
1	24	1.06287	1.08115	0.00217796
1	25	1.0609	1.08034	0.00223644
1	26	1.05883	1.07951	0.00229836
1	27	1.05667	1.07867	0.00236382
1	28	1.05443	1.0778	0.00243275
1	29	1.05211	1.07691	0.00250501
1	30	1.04972	1.07601	0.00258031
1	31	1.04729	1.07508	0.00265822
1	32	1.04482	1.07414	0.00273819
1	33	1.04235	1.07317	0.00281953
1	34	1.0399	1.07219	0.00290146
1	35	1.0375	1.0712	0.00298312
1	36	1.03517	1.0702	0.00306356
1	37	1.03295	1.0692	0.00314183
1	38	1.03088	1.06819	0.00321691
1	39	1.02897	1.06718	0.00328786
1	40	1.02725	1.06618	0.00335379
1	41	1.02576	1.0652	0.00341387
1	42	1.0245	1.06423	0.00346738
1	43	1.0235	1.06328	0.00351375
1	44	1.02276	1.06236	0.00355253
1	45	1.02229	1.06147	0.00358344
1	46	1.02209	1.06061	0.00360632
1	47	1.02216	1.0598	0.00362122
1	48	1.02247	1.05902	0.0036283
1	49	1.02302	1.05828	0.00362786
1	50	1.02379	1.05759	0.0036203
1	51	1.02475	1.05695	0.00360615
1	52	1.02587	1.05635	0.00358599
1	53	1.02714	1.0558	0.00356044
1	54	1.02852	1.05529	0.00353016
1	55	1.03	1.05484	0.00349581
1	56	1.03154	1.05442	0.00345804
1	57	1.03313	1.05405	0.00341749
1	58	1.03474	1.05371	0.00337474
1	59	1.03636	1.05342	0.00333034
1	60	1.03796	1.05316	0.00328478
1	61	1.03955	1.05294	0.0032385
1	62	1.0411	1.05275	0.00319189
