TEMPERATURE	M_AVE	ERROR
2	0.0280497	0.000908312
1.925	0.0296693	0.000655979
1.85	0.0321997	0.000873264
1.775	0.0343835	0.00120119
1.7	0.0395211	0.00110872
1.625	0.0428745	0.000892955
1.55	0.0470711	0.00115288
1.475	0.0535699	0.00143511
1.4	0.0589289	0.00128347
1.325	0.0704278	0.00201097
1.25	0.0776594	0.00239733
1.175	0.0927264	0.00216124
1.1	0.110812	0.00247702
1.025	0.143257	0.00344256
0.95	0.171489	0.00324137
0.875	0.224073	0.00450748
0.8	0.294029	0.00692273
0.725	0.410234	0.00670399
0.65	0.537397	0.0131942
0.575	0.713676	0.0172616
0.5	0.917767	0.0102199
