T_SIGN	BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1	1.64902	1.64902	0
1	2	1.64646	1.64774	0.000905482
1	3	1.64391	1.64646	0.00120461
1	4	1.64138	1.64519	0.00142353
1	5	1.63888	1.64393	0.00160314
1	6	1.63643	1.64268	0.00175743
1	7	1.63401	1.64144	0.00189313
1	8	1.63164	1.64022	0.00201424
1	9	1.62932	1.639	0.00212343
1	10	1.62704	1.63781	0.00222267
1	11	1.62481	1.63663	0.00231365
1	12	1.62261	1.63546	0.00239769
1	13	1.62044	1.6343	0.00247606
1	14	1.61828	1.63316	0.00254996
1	15	1.61613	1.63202	0.00262052
1	16	1.61397	1.63089	0.00268881
1	17	1.61177	1.62977	0.00275586
1	18	1.60954	1.62865	0.00282267
1	19	1.60724	1.62752	0.00289016
1	20	1.60487	1.62639	0.00295927
1	21	1.6024	1.62524	0.00303082
1	22	1.59982	1.62409	0.00310554
1	23	1.59713	1.62292	0.00318405
1	24	1.59431	1.62172	0.00326694
1	25	1.59135	1.62051	0.00335465
1	26	1.58824	1.61927	0.00344754
1	27	1.58501	1.618	0.00354573
1	28	1.58164	1.6167	0.00364913
1	29	1.57816	1.61537	0.00375752
1	30	1.57458	1.61401	0.00387046
1	31	1.57093	1.61262	0.00398733
1	32	1.56723	1.6112	0.00410728
1	33	1.56353	1.60976	0.0042293
1	34	1.55985	1.60829	0.00435219
1	35	1.55625	1.6068	0.00447467
1	36	1.55276	1.6053	0.00459535
1	37	1.54943	1.60379	0.00471274
1	38	1.54631	1.60228	0.00482537
1	39	1.54345	1.60077	0.0049318
1	40	1.54088	1.59927	0.00503068
1	41	1.53863	1.5978	0.0051208
1	42	1.53675	1.59634	0.00520108
1	43	1.53524	1.59492	0.00527063
1	44	1.53414	1.59354	0.0053288
1	45	1.53344	1.5922	0.00537515
1	46	1.53314	1.59092	0.00540949
1	47	1.53324	1.58969	0.00543183
1	48	1.53371	1.58853	0.00544245
1	49	1.53453	1.58742	0.00544179
1	50	1.53568	1.58639	0.00543046
1	51	1.53712	1.58542	0.00540923
1	52	1.53881	1.58453	0.00537898
1	53	1.54071	1.5837	0.00534066
1	54	1.54278	1.58294	0.00529523
1	55	1.545	1.58225	0.00524371
1	56	1.54731	1.58163	0.00518707
1	57	1.54969	1.58107	0.00512624
1	58	1.55211	1.58057	0.00506211
1	59	1.55453	1.58013	0.00499551
1	60	1.55695	1.57974	0.00492717
1	61	1.55932	1.57941	0.00485776
1	62	1.56165	1.57912	0.00478784
1	63	1.56392	1.57888	0.00471792
1	64	1.56611	1.57868	0.00464842
1	65	1.56822	1.57852	0.00457969
1	66	1.57025	1.57839	0.00451201
1	67	1.5722	1.5783	0.00444561
1	68	1.57405	1.57824	0.00438068
1	69	1.57582	1.5782	0.00431733
1	70	1.57748	1.57819	0.00425567
1	71	1.57905	1.5782	0.00419574
1	72	1.58052	1.57824	0.00413759
1	73	1.58189	1.57829	0.00408122
1	74	1.58315	1.57835	0.00402659
1	75	1.58429	1.57843	0.00397368
