Step	acc_rate
0	0.666667
1	0.657407
2	0.641975
3	0.655093
4	0.653704
5	0.640432
6	0.637566
7	0.635417
8	0.62037
9	0.619444
10	0.619529
11	0.617284
12	0.608974
13	0.607804
14	0.601235
15	0.597801
16	0.600763
17	0.59928
18	0.599415
19	0.597685
20	0.594356
21	0.588805
22	0.586554
23	0.585262
24	0.582222
25	0.581909
26	0.578189
27	0.577712
28	0.576628
29	0.57716
30	0.574671
31	0.572338
32	0.571829
33	0.570534
34	0.57037
35	0.567387
36	0.566567
37	0.567982
38	0.567664
39	0.568519
40	0.56888
41	0.568563
42	0.569121
43	0.568182
44	0.566872
45	0.564211
46	0.56383
47	0.563272
48	0.564059
49	0.563333
50	0.563544
51	0.562678
52	0.562893
53	0.562243
54	0.562121
55	0.562665
56	0.562378
57	0.562899
58	0.56199
59	0.56142
60	0.562083
61	0.560932
62	0.560847
63	0.559317
64	0.559259
65	0.55752
66	0.55832
67	0.558415
68	0.557703
69	0.556746
70	0.556468
71	0.555813
72	0.555429
73	0.55493
74	0.553951
75	0.553484
76	0.55303
77	0.553656
78	0.553211
79	0.552662
80	0.551783
81	0.551265
82	0.551093
83	0.551036
84	0.551198
85	0.550495
86	0.549915
87	0.55061
88	0.55025
89	0.550514
90	0.550265
91	0.549416
92	0.549184
93	0.548759
94	0.548148
95	0.547454
96	0.547251
97	0.545918
98	0.546109
99	0.545926
100	0.545471
101	0.546115
102	0.546386
103	0.54692
104	0.546208
105	0.546384
106	0.545604
107	0.544839
108	0.544512
109	0.544024
110	0.543377
111	0.542493
112	0.542363
113	0.542235
114	0.542029
115	0.542066
116	0.541706
117	0.542137
118	0.542095
119	0.542052
120	0.542088
121	0.542577
122	0.542081
123	0.542413
124	0.542296
125	0.542549
126	0.542797
127	0.542824
128	0.542205
129	0.541595
130	0.540783
131	0.540194
132	0.540031
133	0.539939
134	0.539918
135	0.540169
136	0.540281
137	0.53952
138	0.539901
139	0.540079
140	0.539729
141	0.53958
142	0.539951
143	0.539673
144	0.539719
145	0.539257
146	0.538864
147	0.538476
148	0.538031
149	0.537716
150	0.538018
151	0.538073
152	0.537703
153	0.537217
154	0.536858
155	0.536859
156	0.536742
157	0.536861
158	0.536629
159	0.536516
160	0.536002
161	0.535951
162	0.535844
163	0.536303
164	0.536027
165	0.535921
166	0.53554
167	0.535604
168	0.535613
169	0.53573
170	0.5359
171	0.535314
172	0.535057
173	0.535281
174	0.535344
175	0.535406
176	0.535154
177	0.535216
178	0.535071
179	0.534825
180	0.534991
181	0.534799
182	0.53476
183	0.534571
184	0.534484
185	0.534349
186	0.533621
187	0.533343
188	0.533706
189	0.533382
190	0.533498
191	0.532841
192	0.532911
193	0.532646
194	0.532431
195	0.532029
196	0.531867
197	0.531566
198	0.5315
199	0.531296
200	0.530956
201	0.530803
202	0.529967
203	0.529684
204	0.529539
205	0.529486
206	0.529612
207	0.52898
208	0.528708
209	0.528527
210	0.528348
211	0.528302
212	0.528039
213	0.528167
214	0.528381
215	0.528421
216	0.528418
217	0.527905
218	0.527566
219	0.527189
220	0.527066
221	0.52686
222	0.526491
223	0.526414
224	0.526091
225	0.525975
226	0.525657
227	0.52526
228	0.524907
