TEMPERATURE	M_AVE	ERROR
2	0.0275422	0.0011234
1.925	0.0277387	0.0011524
1.85	0.0317994	0.00111738
1.775	0.0347224	0.00114858
1.7	0.0364782	0.00136041
1.625	0.0419075	0.00135977
1.55	0.048414	0.00148664
1.475	0.0503645	0.00182741
1.4	0.0553921	0.00207635
1.325	0.068541	0.00184095
1.25	0.0771981	0.00281896
1.175	0.0988946	0.00227436
1.1	0.114028	0.00266291
1.025	0.144082	0.00336457
0.95	0.17084	0.00471246
0.875	0.220093	0.00688828
0.8	0.288084	0.00677838
0.725	0.396725	0.00992839
0.65	0.55245	0.0156763
0.575	0.760145	0.0151787
0.5	0.926814	0.00776632
