N_BLOCK	DELTA	ACCEPTANCE
1	0.105	0.493022
2	0.105	0.491249
3	0.105	0.49096
4	0.105	0.490731
5	0.105	0.490892
6	0.105	0.490678
7	0.105	0.490906
8	0.105	0.491216
9	0.105	0.49116
10	0.105	0.491555
11	0.105	0.491587
12	0.105	0.491437
13	0.105	0.491236
14	0.105	0.49127
15	0.105	0.491269
16	0.105	0.491114
17	0.105	0.491199
18	0.105	0.491158
19	0.105	0.491231
20	0.105	0.491381
21	0.105	0.491179
22	0.105	0.491179
23	0.105	0.491079
24	0.105	0.491066
25	0.105	0.490971
26	0.105	0.490779
27	0.105	0.490818
28	0.105	0.490841
29	0.105	0.490806
30	0.105	0.49076
31	0.105	0.490748
32	0.105	0.490704
33	0.105	0.490693
34	0.105	0.490674
35	0.105	0.490753
36	0.105	0.490826
37	0.105	0.490754
38	0.105	0.490714
39	0.105	0.490694
40	0.105	0.490643
41	0.105	0.490689
42	0.105	0.490729
43	0.105	0.490834
44	0.105	0.49092
45	0.105	0.490885
46	0.105	0.490901
47	0.105	0.490877
48	0.105	0.490959
49	0.105	0.490962
50	0.105	0.490986
