BIN SIZE	0.0256496
BIN	DISTANCE	AVE_GOFR	ERROR
0	0.0256496	0	0
1	0.0512993	0	0
2	0.0769489	0	0
3	0.102599	0	0
4	0.128248	0	0
5	0.153898	0	0
6	0.179547	0	0
7	0.205197	0	0
8	0.230847	0	0
9	0.256496	0	0
10	0.282146	0	0
11	0.307796	0	0
12	0.333445	0	0
13	0.359095	0	0
14	0.384745	0	0
15	0.410394	0	0
16	0.436044	0	0
17	0.461694	0	0
18	0.487343	0	0
19	0.512993	0	0
20	0.538642	0	0
21	0.564292	0	0
22	0.589942	0	0
23	0.615591	0	0
24	0.641241	0	0
25	0.666891	0	0
26	0.69254	0	0
27	0.71819	0	0
28	0.74384	0	0
29	0.769489	0	0
30	0.795139	0	0
31	0.820788	0	0
32	0.846438	0	0
33	0.872088	0	0
34	0.897737	0.000596084	0
35	0.923387	0.0247277	0
36	0.949037	0.16292	0
37	0.974686	0.556148	0
38	1.00034	1.20023	0
39	1.02599	1.84343	0
40	1.05164	2.3257	0
41	1.07728	2.57056	0
42	1.10293	2.53182	0
43	1.12858	2.41243	0
44	1.15423	2.2207	0
45	1.17988	1.99142	0
46	1.20553	1.77075	0
47	1.23118	1.57934	0
48	1.25683	1.40238	0
49	1.28248	1.25517	0
50	1.30813	1.13267	0
51	1.33378	1.02092	0
52	1.35943	0.93826	0
53	1.38508	0.867246	0
54	1.41073	0.804292	0
55	1.43638	0.772115	0
56	1.46203	0.735042	0
57	1.48768	0.703986	0
58	1.51333	0.686217	0
59	1.53898	0.664363	0
60	1.56463	0.667663	0
61	1.59028	0.664713	0
62	1.61593	0.665256	0
63	1.64158	0.683749	0
64	1.66723	0.699223	0
65	1.69288	0.71302	0
66	1.71853	0.739982	0
67	1.74418	0.78233	0
68	1.76983	0.816174	0
69	1.79547	0.855817	0
70	1.82112	0.891064	0
71	1.84677	0.942392	0
72	1.87242	0.979333	0
73	1.89807	1.0166	0
74	1.92372	1.05467	0
75	1.94937	1.10165	0
76	1.97502	1.14423	0
77	2.00067	1.16369	0
78	2.02632	1.18016	0
79	2.05197	1.21276	0
80	2.07762	1.21333	0
81	2.10327	1.21817	0
82	2.12892	1.21453	0
83	2.15457	1.19834	0
84	2.18022	1.18616	0
85	2.20587	1.15223	0
86	2.23152	1.12933	0
87	2.25717	1.09907	0
88	2.28282	1.06622	0
89	2.30847	1.03853	0
90	2.33412	1.00694	0
91	2.35977	0.982008	0
92	2.38542	0.961509	0
93	2.41107	0.942937	0
94	2.43672	0.926949	0
95	2.46237	0.909195	0
96	2.48802	0.906584	0
97	2.51366	0.891075	0
98	2.53931	0.888679	0
99	2.56496	0.88068	0

0	0.0256496	0	0
1	0.0512993	0	0
2	0.0769489	0	0
3	0.102599	0	0
4	0.128248	0	0
5	0.153898	0	0
6	0.179547	0	0
7	0.205197	0	0
8	0.230847	0	0
9	0.256496	0	0
10	0.282146	0	0
11	0.307796	0	0
12	0.333445	0	0
13	0.359095	0	0
14	0.384745	0	0
15	0.410394	0	0
16	0.436044	0	0
17	0.461694	0	0
18	0.487343	0	0
19	0.512993	0	0
20	0.538642	0	0
21	0.564292	0	0
22	0.589942	0	0
23	0.615591	0	0
24	0.641241	0	0
25	0.666891	0	0
26	0.69254	0	0
27	0.71819	0	0
28	0.74384	0	0
29	0.769489	0	0
30	0.795139	0	0
31	0.820788	0	0
32	0.846438	0	0
33	0.872088	0	0
34	0.897737	0.000733642	9.72681e-05
35	0.923387	0.0254206	0.00048995
36	0.949037	0.166116	0.00225943
37	0.974686	0.555566	0.000411643
38	1.00034	1.20323	0.00212192
39	1.02599	1.8432	0.000160773
40	1.05164	2.34187	0.0114346
41	1.07728	2.57651	0.00421268
42	1.10293	2.54162	0.00693321
43	1.12858	2.41352	0.000775003
44	1.15423	2.21706	0.00257249
45	1.17988	1.98196	0.00669224
46	1.20553	1.76799	0.00194546
47	1.23118	1.56811	0.00794511
48	1.25683	1.39889	0.00246919
49	1.28248	1.25107	0.00289808
50	1.30813	1.12773	0.00349569
51	1.33378	1.02142	0.000356497
52	1.35943	0.934468	0.00268136
53	1.38508	0.868028	0.000552817
54	1.41073	0.806718	0.00171509
55	1.43638	0.769918	0.00155361
56	1.46203	0.730306	0.0033488
57	1.48768	0.704061	5.25271e-05
58	1.51333	0.683721	0.00176486
59	1.53898	0.663122	0.000877545
60	1.56463	0.663324	0.00306824
61	1.59028	0.66418	0.000377537
62	1.61593	0.666632	0.000973161
63	1.64158	0.681366	0.00168451
64	1.66723	0.695956	0.00230988
65	1.69288	0.715812	0.00197452
66	1.71853	0.750139	0.00718234
67	1.74418	0.782276	3.81166e-05
