BIN SIZE	0.0256496
BIN	DISTANCE	AVE_GOFR	ERROR
0	0.0256496	0	0
1	0.0512993	0	0
2	0.0769489	0	0
3	0.102599	0	0
4	0.128248	0	0
5	0.153898	0	0
6	0.179547	0	0
7	0.205197	0	0
8	0.230847	0	0
9	0.256496	0	0
10	0.282146	0	0
11	0.307796	0	0
12	0.333445	0	0
13	0.359095	0	0
14	0.384745	0	0
15	0.410394	0	0
16	0.436044	0	0
17	0.461694	0	0
18	0.487343	0	0
19	0.512993	0	0
20	0.538642	0	0
21	0.564292	0	0
22	0.589942	0	0
23	0.615591	0	0
24	0.641241	0	0
25	0.666891	0	0
26	0.69254	0	0
27	0.71819	0	0
28	0.74384	0	0
29	0.769489	0	0
30	0.795139	0	0
31	0.820788	0	0
32	0.846438	0	0
33	0.872088	0	0
34	0.897737	0.00201751	0
35	0.923387	0.0201372	0
36	0.949037	0.152597	0
37	0.974686	0.551607	0
38	1.00034	1.18278	0
39	1.02599	1.83661	0
40	1.05164	2.3058	0
41	1.07728	2.58802	0
42	1.10293	2.59025	0
43	1.12858	2.42662	0
44	1.15423	2.19807	0
45	1.17988	1.97033	0
46	1.20553	1.71393	0
47	1.23118	1.50786	0
48	1.25683	1.38001	0
49	1.28248	1.22581	0
50	1.30813	1.11962	0
51	1.33378	1.00944	0
52	1.35943	0.931805	0
53	1.38508	0.881319	0
54	1.41073	0.831836	0
55	1.43638	0.762016	0
56	1.46203	0.753712	0
57	1.48768	0.753476	0
58	1.51333	0.708194	0
59	1.53898	0.673351	0
60	1.56463	0.713291	0
61	1.59028	0.688538	0
62	1.61593	0.69858	0
63	1.64158	0.669388	0
64	1.66723	0.721	0
65	1.69288	0.730652	0
66	1.71853	0.742635	0
67	1.74418	0.764625	0
68	1.76983	0.806927	0
69	1.79547	0.841455	0
70	1.82112	0.908634	0
71	1.84677	0.949321	0
72	1.87242	0.959968	0
73	1.89807	0.992046	0
74	1.92372	1.05804	0
75	1.94937	1.09476	0
76	1.97502	1.10895	0
77	2.00067	1.11415	0
78	2.02632	1.15038	0
79	2.05197	1.20023	0
80	2.07762	1.22863	0
81	2.10327	1.23216	0
82	2.12892	1.21447	0
83	2.15457	1.20938	0
84	2.18022	1.18384	0
85	2.20587	1.15495	0
86	2.23152	1.12403	0
87	2.25717	1.10001	0
88	2.28282	1.06659	0
89	2.30847	1.04515	0
90	2.33412	1.02921	0
91	2.35977	0.998077	0
92	2.38542	0.960935	0
93	2.41107	0.941714	0
94	2.43672	0.939124	0
95	2.46237	0.904796	0
96	2.48802	0.910382	0
97	2.51366	0.897821	0
98	2.53931	0.894912	0
99	2.56496	0.903305	0

0	0.0256496	0	0
1	0.0512993	0	0
2	0.0769489	0	0
3	0.102599	0	0
4	0.128248	0	0
5	0.153898	0	0
6	0.179547	0	0
7	0.205197	0	0
8	0.230847	0	0
9	0.256496	0	0
10	0.282146	0	0
11	0.307796	0	0
12	0.333445	0	0
13	0.359095	0	0
14	0.384745	0	0
15	0.410394	0	0
16	0.436044	0	0
17	0.461694	0	0
18	0.487343	0	0
19	0.512993	0	0
20	0.538642	0	0
21	0.564292	0	0
22	0.589942	0	0
23	0.615591	0	0
24	0.641241	0	0
25	0.666891	0	0
26	0.69254	0	0
27	0.71819	0	0
28	0.74384	0	0
29	0.769489	0	0
30	0.795139	0	0
31	0.820788	0	0
32	0.846438	0	0
33	0.872088	0	0
34	0.897737	0.00142143	0.000421495
35	0.923387	0.0235151	0.00238851
36	0.949037	0.148419	0.00295464
37	0.974686	0.558904	0.00515926
38	1.00034	1.20699	0.0171186
39	1.02599	1.86163	0.0176974
40	1.05164	2.34995	0.0312217
41	1.07728	2.57948	0.00603892
42	1.10293	2.5835	0.00477526
43	1.12858	2.39059	0.0254731
44	1.15423	2.17226	0.018251
45	1.17988	1.9719	0.00110916
46	1.20553	1.71509	0.000821018
47	1.23118	1.51981	0.0084497
48	1.25683	1.39428	0.0100901
49	1.28248	1.24944	0.0167112
50	1.30813	1.1335	0.00981365
51	1.33378	1.02714	0.012521
52	1.35943	0.922795	0.00637085
53	1.38508	0.865759	0.0110024
54	1.41073	0.808666	0.0163843
55	1.43638	0.779026	0.0120279
56	1.46203	0.74277	0.0077373
57	1.48768	0.726338	0.0191899
58	1.51333	0.68896	0.0136001
59	1.53898	0.673381	2.18024e-05
60	1.56463	0.694466	0.0133115
61	1.59028	0.691445	0.00205605
62	1.61593	0.695017	0.00251935
63	1.64158	0.674626	0.00370401
64	1.66723	0.719387	0.00114102
65	1.69288	0.727758	0.00204648
66	1.71853	0.745634	0.00212067
67	1.74418	0.76756	0.00207524
68	1.76983	0.815895	0.00634137
