BIN SIZE	0.0256496
BIN	DISTANCE	AVE_GOFR
0	0.0256496	0
1	0.0512993	0
2	0.0769489	0
3	0.102599	0
4	0.128248	0
5	0.153898	0
6	0.179547	0
7	0.205197	0
8	0.230847	0
9	0.256496	0
10	0.282146	0
11	0.307796	0
12	0.333445	0
13	0.359095	0
14	0.384745	0
15	0.410394	0
16	0.436044	0
17	0.461694	0
18	0.487343	0
19	0.512993	0
20	0.538642	0
21	0.564292	0
22	0.589942	0
23	0.615591	0
24	0.641241	0
25	0.666891	0
26	0.69254	0
27	0.71819	0
28	0.74384	0
29	0.769489	0
30	0.795139	0
31	0.820788	0
32	0.846438	0
33	0.872088	0
34	0.897737	0.000596084
35	0.923387	0.0247277
36	0.949037	0.16292
37	0.974686	0.556148
38	1.00034	1.20023
39	1.02599	1.84343
40	1.05164	2.3257
41	1.07728	2.57056
42	1.10293	2.53182
43	1.12858	2.41243
44	1.15423	2.2207
45	1.17988	1.99142
46	1.20553	1.77075
47	1.23118	1.57934
48	1.25683	1.40238
49	1.28248	1.25517
50	1.30813	1.13267
51	1.33378	1.02092
52	1.35943	0.93826
53	1.38508	0.867246
54	1.41073	0.804292
55	1.43638	0.772115
56	1.46203	0.735042
57	1.48768	0.703986
58	1.51333	0.686217
59	1.53898	0.664363
60	1.56463	0.667663
61	1.59028	0.664713
62	1.61593	0.665256
63	1.64158	0.683749
64	1.66723	0.699223
65	1.69288	0.71302
66	1.71853	0.739982
67	1.74418	0.78233
68	1.76983	0.816174
69	1.79547	0.855817
70	1.82112	0.891064
71	1.84677	0.942392
72	1.87242	0.979333
73	1.89807	1.0166
74	1.92372	1.05467
75	1.94937	1.10165
76	1.97502	1.14423
77	2.00067	1.16369
78	2.02632	1.18016
79	2.05197	1.21276
80	2.07762	1.21333
81	2.10327	1.21817
82	2.12892	1.21453
83	2.15457	1.19834
84	2.18022	1.18616
85	2.20587	1.15223
86	2.23152	1.12933
87	2.25717	1.09907
88	2.28282	1.06622
89	2.30847	1.03853
90	2.33412	1.00694
91	2.35977	0.982008
92	2.38542	0.961509
93	2.41107	0.942937
94	2.43672	0.926949
95	2.46237	0.909195
96	2.48802	0.906584
97	2.51366	0.891075
98	2.53931	0.888679
99	2.56496	0.88068

0	0.0256496	0
1	0.0512993	0
2	0.0769489	0
3	0.102599	0
4	0.128248	0
5	0.153898	0
6	0.179547	0
7	0.205197	0
8	0.230847	0
9	0.256496	0
10	0.282146	0
11	0.307796	0
12	0.333445	0
13	0.359095	0
14	0.384745	0
15	0.410394	0
16	0.436044	0
17	0.461694	0
18	0.487343	0
19	0.512993	0
20	0.538642	0
21	0.564292	0
22	0.589942	0
23	0.615591	0
24	0.641241	0
25	0.666891	0
26	0.69254	0
27	0.71819	0
28	0.74384	0
29	0.769489	0
30	0.795139	0
31	0.820788	0
32	0.846438	0
33	0.872088	0
34	0.897737	0.000871199
35	0.923387	0.0261135
36	0.949037	0.169311
37	0.974686	0.554984
38	1.00034	1.20623
39	1.02599	1.84297
40	1.05164	2.35804
41	1.07728	2.58247
42	1.10293	2.55143
43	1.12858	2.41462
44	1.15423	2.21342
45	1.17988	1.97249
46	1.20553	1.76524
47	1.23118	1.55687
48	1.25683	1.3954
49	1.28248	1.24697
50	1.30813	1.12279
51	1.33378	1.02193
52	1.35943	0.930676
53	1.38508	0.86881
54	1.41073	0.809143
55	1.43638	0.767721
56	1.46203	0.72557
57	1.48768	0.704135
58	1.51333	0.681225
59	1.53898	0.661881
60	1.56463	0.658985
61	1.59028	0.663646
62	1.61593	0.668009
63	1.64158	0.678984
64	1.66723	0.692689
65	1.69288	0.718605
66	1.71853	0.760297
67	1.74418	0.782223
68	1.76983	0.811661
69	1.79547	0.859591
70	1.82112	0.897169
71	1.84677	0.951242
72	1.87242	0.991814
73	1.89807	1.04159
74	1.92372	1.07258
75	1.94937	1.11314
76	1.97502	1.14591
77	2.00067	1.17317
78	2.02632	1.18751
79	2.05197	1.20988
80	2.07762	1.22246
