BIN SIZE	0.0256496
BIN	DISTANCE	AVE_GOFR
0	0.0256496	0
1	0.0512993	0
2	0.0769489	0
3	0.102599	0
4	0.128248	0
5	0.153898	0
6	0.179547	0
7	0.205197	0
8	0.230847	0
9	0.256496	0
10	0.282146	0
11	0.307796	0
12	0.333445	0
13	0.359095	0
14	0.384745	0
15	0.410394	0
16	0.436044	0
17	0.461694	0
18	0.487343	0
19	0.512993	0
20	0.538642	0
21	0.564292	0
22	0.589942	0
23	0.615591	0
24	0.641241	0
25	0.666891	0
26	0.69254	0
27	0.71819	0
28	0.74384	0
29	0.769489	0
30	0.795139	0
31	0.820788	0
32	0.846438	0
33	0.872088	0
34	0.897737	0.00201751
35	0.923387	0.0201372
36	0.949037	0.152597
37	0.974686	0.551607
38	1.00034	1.18278
39	1.02599	1.83661
40	1.05164	2.3058
41	1.07728	2.58802
42	1.10293	2.59025
43	1.12858	2.42662
44	1.15423	2.19807
45	1.17988	1.97033
46	1.20553	1.71393
47	1.23118	1.50786
48	1.25683	1.38001
49	1.28248	1.22581
50	1.30813	1.11962
51	1.33378	1.00944
52	1.35943	0.931805
53	1.38508	0.881319
54	1.41073	0.831836
55	1.43638	0.762016
56	1.46203	0.753712
57	1.48768	0.753476
58	1.51333	0.708194
59	1.53898	0.673351
60	1.56463	0.713291
61	1.59028	0.688538
62	1.61593	0.69858
63	1.64158	0.669388
64	1.66723	0.721
65	1.69288	0.730652
66	1.71853	0.742635
67	1.74418	0.764625
68	1.76983	0.806927
69	1.79547	0.841455
70	1.82112	0.908634
71	1.84677	0.949321
72	1.87242	0.959968
73	1.89807	0.992046
74	1.92372	1.05804
75	1.94937	1.09476
76	1.97502	1.10895
77	2.00067	1.11415
78	2.02632	1.15038
79	2.05197	1.20023
80	2.07762	1.22863
81	2.10327	1.23216
82	2.12892	1.21447
83	2.15457	1.20938
84	2.18022	1.18384
85	2.20587	1.15495
86	2.23152	1.12403
87	2.25717	1.10001
88	2.28282	1.06659
89	2.30847	1.04515
90	2.33412	1.02921
91	2.35977	0.998077
92	2.38542	0.960935
93	2.41107	0.941714
94	2.43672	0.939124
95	2.46237	0.904796
96	2.48802	0.910382
97	2.51366	0.897821
98	2.53931	0.894912
99	2.56496	0.903305

0	0.0256496	0
1	0.0512993	0
2	0.0769489	0
3	0.102599	0
4	0.128248	0
5	0.153898	0
6	0.179547	0
7	0.205197	0
8	0.230847	0
9	0.256496	0
10	0.282146	0
11	0.307796	0
12	0.333445	0
13	0.359095	0
14	0.384745	0
15	0.410394	0
16	0.436044	0
17	0.461694	0
18	0.487343	0
19	0.512993	0
20	0.538642	0
21	0.564292	0
22	0.589942	0
23	0.615591	0
24	0.641241	0
25	0.666891	0
26	0.69254	0
27	0.71819	0
28	0.74384	0
29	0.769489	0
30	0.795139	0
31	0.820788	0
32	0.846438	0
33	0.872088	0
34	0.897737	0.000825347
35	0.923387	0.026893
36	0.949037	0.14424
37	0.974686	0.5662
38	1.00034	1.2312
39	1.02599	1.88666
40	1.05164	2.39411
41	1.07728	2.57094
42	1.10293	2.57675
43	1.12858	2.35457
44	1.15423	2.14645
45	1.17988	1.97347
46	1.20553	1.71625
47	1.23118	1.53176
48	1.25683	1.40855
49	1.28248	1.27308
50	1.30813	1.14738
51	1.33378	1.04485
52	1.35943	0.913786
53	1.38508	0.850199
54	1.41073	0.785495
55	1.43638	0.796036
56	1.46203	0.731828
57	1.48768	0.699199
58	1.51333	0.669727
59	1.53898	0.673412
60	1.56463	0.67564
61	1.59028	0.694353
62	1.61593	0.691454
63	1.64158	0.679864
64	1.66723	0.717773
65	1.69288	0.724864
66	1.71853	0.748633
67	1.74418	0.770495
68	1.76983	0.824863
69	1.79547	0.847896
70	1.82112	0.906174
71	1.84677	0.954648
72	1.87242	0.994898
73	1.89807	1.0133
74	1.92372	1.03214
75	1.94937	1.07468
76	1.97502	1.08596
77	2.00067	1.14392
78	2.02632	1.19296
79	2.05197	1.2174
80	2.07762	1.21054
