T_SIGN	BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1	1.64726	1.64726	0
1	2	1.63607	1.64166	0.00395602
1	3	1.65142	1.64491	0.00374163
1	4	1.63848	1.64331	0.00313322
1	5	1.63991	1.64263	0.0025791
1	6	1.63267	1.64097	0.00262968
1	7	1.6376	1.64049	0.00229755
1	8	1.65736	1.64259	0.00281642
1	9	1.63766	1.64205	0.00255632
1	10	1.63588	1.64143	0.00237399
1	11	1.62093	1.63957	0.00279552
1	12	1.62861	1.63865	0.00270755
1	13	1.63636	1.63848	0.00250503
1	14	1.65462	1.63963	0.0025778
1	15	1.62985	1.63898	0.002487
1	16	1.64513	1.63936	0.00236109
1	17	1.63775	1.63927	0.00222412
1	18	1.62301	1.63836	0.0022766
1	19	1.64441	1.63868	0.0021789
1	20	1.63452	1.63847	0.00207984
1	21	1.62147	1.63766	0.00213264
1	22	1.64775	1.63812	0.00208444
1	23	1.66401	1.63925	0.00227758
1	24	1.65525	1.63991	0.00227817
1	25	1.61635	1.63897	0.00237404
1	26	1.68219	1.64063	0.00280486
1	27	1.62907	1.64021	0.00273349
1	28	1.63509	1.64002	0.00264198
1	29	1.62926	1.63965	0.00257679
1	30	1.60794	1.63859	0.00269906
