T_SIGN	BLOCK	ACTUAL_PE	PE_AVE	ERROR
1	1	-5.44822	-5.44822	0
1	2	-5.43279	-5.4405	0.00545238
1	3	-5.46705	-5.44935	0.00808862
1	4	-5.44561	-5.44842	0.00612046
1	5	-5.47012	-5.45276	0.00624878
1	6	-5.45921	-5.45383	0.00529911
1	7	-5.47344	-5.45663	0.00523017
1	8	-5.48478	-5.46015	0.00563683
1	9	-5.46133	-5.46028	0.00501203
1	10	-5.48748	-5.463	0.0051968
1	11	-5.47966	-5.46452	0.00493998
1	12	-5.45872	-5.46403	0.00455184
1	13	-5.45421	-5.46328	0.00426396
1	14	-5.48079	-5.46453	0.00413885
1	15	-5.46234	-5.46438	0.0038655
1	16	-5.44892	-5.46342	0.00374283
1	17	-5.47494	-5.4641	0.00358354
1	18	-5.47077	-5.46447	0.00340359
1	19	-5.47473	-5.46501	0.00326708
1	20	-5.47679	-5.4656	0.00315641
1	21	-5.45484	-5.46508	0.00304738
1	22	-5.47478	-5.46552	0.00294058
1	23	-5.44182	-5.46449	0.00298784
1	24	-5.47072	-5.46475	0.0028746
1	25	-5.45439	-5.46434	0.00278935
1	26	-5.43333	-5.46315	0.00292599
1	27	-5.47442	-5.46356	0.00284725
1	28	-5.47218	-5.46387	0.00276214
1	29	-5.46876	-5.46404	0.00267203
1	30	-5.47308	-5.46434	0.0025999
1	31	-5.45556	-5.46406	0.00253142
1	32	-5.45225	-5.46369	0.00247905
1	33	-5.4611	-5.46361	0.00240517
1	34	-5.47256	-5.46387	0.0023488
1	35	-5.47782	-5.46427	0.00231524
1	36	-5.49798	-5.46521	0.00243287
1	37	-5.45174	-5.46484	0.00239418
1	38	-5.46306	-5.4648	0.00233163
1	39	-5.45359	-5.46451	0.0022895
1	40	-5.44454	-5.46401	0.00228605
1	41	-5.48614	-5.46455	0.00229314
1	42	-5.45979	-5.46444	0.00224135
1	43	-5.48011	-5.4648	0.00221865
1	44	-5.464	-5.46478	0.0021683
1	45	-5.44537	-5.46435	0.0021626
1	46	-5.4786	-5.46466	0.00213766
1	47	-5.46075	-5.46458	0.0020938
1	48	-5.47785	-5.46486	0.00206836
1	49	-5.48068	-5.46518	0.0020512
1	50	-5.47133	-5.4653	0.00201386
