T_SIGN	BLOCK	ACTUAL_PE	PE_AVE	ERROR
1	1	-5.46951	-5.46951	0
1	2	-5.45764	-5.46357	0.00419726
1	3	-5.473	-5.46671	0.0037964
1	4	-5.46074	-5.46522	0.00312747
1	5	-5.46071	-5.46432	0.0026289
1	6	-5.45332	-5.46248	0.00275706
1	7	-5.45862	-5.46193	0.00241794
1	8	-5.4812	-5.46434	0.00309022
1	9	-5.45874	-5.46372	0.00280881
1	10	-5.45941	-5.46329	0.0025607
1	11	-5.44321	-5.46146	0.00290635
1	12	-5.44939	-5.46046	0.00283303
1	13	-5.45982	-5.46041	0.00261553
1	14	-5.47616	-5.46153	0.00265971
1	15	-5.45319	-5.46098	0.00253984
1	16	-5.46718	-5.46136	0.00241053
1	17	-5.45923	-5.46124	0.002272
1	18	-5.44518	-5.46035	0.00231422
1	19	-5.46684	-5.46069	0.00221748
1	20	-5.45693	-5.4605	0.00211456
1	21	-5.44278	-5.45966	0.00217579
1	22	-5.47077	-5.46016	0.00213476
1	23	-5.48605	-5.46129	0.00231985
1	24	-5.47821	-5.46199	0.00232794
1	25	-5.43742	-5.46101	0.00243347
1	26	-5.50435	-5.46268	0.00285421
1	27	-5.45147	-5.46226	0.00277849
1	28	-5.45613	-5.46204	0.00268788
1	29	-5.44926	-5.4616	0.00263107
1	30	-5.42946	-5.46053	0.00275287
1	31	-5.43806	-5.45981	0.00275784
1	32	-5.46378	-5.45993	0.00267444
1	33	-5.4576	-5.45986	0.00259433
1	34	-5.44271	-5.45935	0.00256661
1	35	-5.45788	-5.45931	0.00249362
1	36	-5.45795	-5.45927	0.00242464
1	37	-5.46567	-5.45945	0.00236527
1	38	-5.47635	-5.45989	0.00234447
1	39	-5.44445	-5.4595	0.00231755
1	40	-5.45464	-5.45937	0.00226279
1	41	-5.48789	-5.46007	0.00231201
1	42	-5.5184	-5.46146	0.0026414
1	43	-5.474	-5.46175	0.00259602
1	44	-5.47587	-5.46207	0.00255678
1	45	-5.47094	-5.46227	0.00250755
1	46	-5.43889	-5.46176	0.00250402
1	47	-5.46001	-5.46172	0.00245102
1	48	-5.47764	-5.46205	0.00242228
1	49	-5.47992	-5.46242	0.00240013
1	50	-5.45171	-5.4622	0.00236166
