T_SIGN	BLOCK	ACTUAL_PE	PE_AVE	ERROR
1	1	-5.93832	-5.93832	0
1	2	-5.93827	-5.9383	1.70865e-05
1	3	-5.93878	-5.93846	0.000131185
1	4	-5.93877	-5.93854	0.000120108
1	5	-5.93917	-5.93866	0.000149038
1	6	-5.93936	-5.93878	0.000163735
1	7	-5.93935	-5.93886	0.000159269
1	8	-5.93943	-5.93893	0.000154364
1	9	-5.93915	-5.93896	0.000139106
1	10	-5.93882	-5.93894	0.000125899
1	11	-5.93888	-5.93894	0.000114583
1	12	-5.93813	-5.93887	0.000123031
1	13	-5.93749	-5.93876	0.000152822
1	14	-5.93694	-5.93863	0.000189513
1	15	-5.93664	-5.9385	0.000218464
1	16	-5.93584	-5.93833	0.000260386
1	17	-5.93515	-5.93815	0.000305172
1	18	-5.93471	-5.93796	0.000342838
1	19	-5.93453	-5.93777	0.000369214
1	20	-5.9337	-5.93757	0.000402999
1	21	-5.93299	-5.93735	0.000438909
1	22	-5.93254	-5.93713	0.000470281
1	23	-5.93161	-5.93689	0.000507478
1	24	-5.93065	-5.93663	0.000549047
1	25	-5.92996	-5.93637	0.000588461
1	26	-5.92864	-5.93607	0.000636505
1	27	-5.9279	-5.93577	0.000681072
1	28	-5.92684	-5.93545	0.000727565
1	29	-5.92561	-5.93511	0.000777542
1	30	-5.92467	-5.93476	0.000825811
1	31	-5.92372	-5.9344	0.000872618
1	32	-5.92276	-5.93404	0.000918124
1	33	-5.92149	-5.93366	0.000965888
1	34	-5.92022	-5.93327	0.00101519
1	35	-5.91895	-5.93286	0.00106544
1	36	-5.91753	-5.93243	0.00111769
1	37	-5.91642	-5.932	0.00116826
1	38	-5.91562	-5.93157	0.00121441
1	39	-5.91499	-5.93114	0.00125549
1	40	-5.91422	-5.93072	0.00129345
1	41	-5.91346	-5.9303	0.00132859
1	42	-5.91259	-5.92988	0.00136224
1	43	-5.91203	-5.92946	0.00139231
1	44	-5.91091	-5.92904	0.00142308
1	45	-5.91012	-5.92862	0.00145224
1	46	-5.90936	-5.9282	0.00147976
1	47	-5.9085	-5.92778	0.00150648
1	48	-5.90737	-5.92736	0.00153392
1	49	-5.90705	-5.92694	0.00155759
1	50	-5.90632	-5.92653	0.00158007
1	51	-5.90535	-5.92611	0.00160273
1	52	-5.90489	-5.92571	0.00162306
1	53	-5.90419	-5.9253	0.00164244
1	54	-5.90385	-5.9249	0.00165936
1	55	-5.90388	-5.92452	0.00167262
1	56	-5.90339	-5.92414	0.00168478
1	57	-5.90312	-5.92377	0.00169513
1	58	-5.90322	-5.92342	0.00170253
1	59	-5.90341	-5.92308	0.00170712
1	60	-5.90323	-5.92275	0.00171044
1	61	-5.90358	-5.92244	0.00171102
1	62	-5.90387	-5.92214	0.00170941
1	63	-5.9044	-5.92185	0.00170529
1	64	-5.90488	-5.92159	0.00169915
1	65	-5.90529	-5.92134	0.00169142
1	66	-5.9061	-5.92111	0.00168149
1	67	-5.907	-5.9209	0.00166952
1	68	-5.908	-5.92071	0.00165571
1	69	-5.90879	-5.92053	0.0016407
1	70	-5.90953	-5.92038	0.00162477
1	71	-5.91082	-5.92024	0.00160745
1	72	-5.91161	-5.92012	0.00158959
1	73	-5.91295	-5.92002	0.00157085
1	74	-5.91423	-5.91995	0.00155157
1	75	-5.91575	-5.91989	0.00153189
1	76	-5.91752	-5.91986	0.00151205
1	77	-5.91893	-5.91985	0.00149247
1	78	-5.92042	-5.91985	0.00147335
1	79	-5.92276	-5.91989	0.00145516
1	80	-5.92473	-5.91995	0.00143822
1	81	-5.92677	-5.92004	0.00142293
1	82	-5.92904	-5.92015	0.00140981
1	83	-5.93123	-5.92028	0.00139914
1	84	-5.93349	-5.92044	0.0013913
1	85	-5.93612	-5.92062	0.00138711
1	86	-5.93865	-5.92083	0.00138672
1	87	-5.94108	-5.92106	0.00139017
1	88	-5.94416	-5.92133	0.00139893
1	89	-5.94698	-5.92161	0.0014126
1	90	-5.94969	-5.92193	0.00143094
1	91	-5.95228	-5.92226	0.00145356
1	92	-5.95504	-5.92262	0.00148078
1	93	-5.95752	-5.92299	0.00151166
1	94	-5.9597	-5.92338	0.00154521
1	95	-5.9625	-5.92379	0.00158286
1	96	-5.9656	-5.92423	0.00162517
1	97	-5.96778	-5.92468	0.00166929
1	98	-5.9701	-5.92514	0.0017154
1	99	-5.9727	-5.92562	0.00176406
1	100	-5.97527	-5.92612	0.00181495
1	101	-5.97796	-5.92663	0.00186815
1	102	-5.97985	-5.92715	0.00192131
1	103	-5.98275	-5.92769	0.00197704
1	104	-5.9853	-5.92825	0.00203415
1	105	-5.98748	-5.92881	0.00209154
1	106	-5.9896	-5.92938	0.002149
1	107	-5.9921	-5.92997	0.0022074
1	108	-5.99422	-5.93057	0.0022657
1	109	-5.99641	-5.93117	0.00232404
1	110	-5.9982	-5.93178	0.00238147
1	111	-5.99976	-5.93239	0.00243748
1	112	-6.00151	-5.93301	0.00249262
1	113	-6.00362	-5.93363	0.00254769
1	114	-6.00517	-5.93426	0.00260149
1	115	-6.00662	-5.93489	0.00265386
1	116	-6.00764	-5.93552	0.00270407
1	117	-6.00916	-5.93615	0.00275323
1	118	-6.01025	-5.93677	0.0028006
1	119	-6.01107	-5.9374	0.0028458
1	120	-6.01176	-5.93802	0.00288877
1	121	-6.01218	-5.93863	0.00292919
1	122	-6.01308	-5.93924	0.00296807
1	123	-6.01354	-5.93985	0.00300478
1	124	-6.01358	-5.94044	0.00303881
1	125	-6.01363	-5.94103	0.00307039
1	126	-6.01355	-5.9416	0.00309951
1	127	-6.01319	-5.94217	0.00312595
1	128	-6.01301	-5.94272	0.00315014
1	129	-6.01285	-5.94326	0.00317228
1	130	-6.01256	-5.9438	0.00319235
1	131	-6.01214	-5.94432	0.00321032
1	132	-6.01145	-5.94483	0.00322603
1	133	-6.01048	-5.94532	0.00323933
1	134	-6.0094	-5.9458	0.00325026
1	135	-6.0085	-5.94626	0.0032592
1	136	-6.00749	-5.94671	0.00326617
1	137	-6.00652	-5.94715	0.00327137
1	138	-6.00514	-5.94757	0.00327455
1	139	-6.00366	-5.94797	0.00327576
1	140	-6.00224	-5.94836	0.00327522
1	141	-6.00074	-5.94873	0.00327299
1	142	-5.99899	-5.94909	0.00326902
1	143	-5.99733	-5.94942	0.00326352
1	144	-5.99483	-5.94974	0.00325606
1	145	-5.99272	-5.95003	0.00324707
1	146	-5.99086	-5.95031	0.00323684
1	147	-5.98894	-5.95058	0.00322547
1	148	-5.98668	-5.95082	0.00321289
1	149	-5.98437	-5.95105	0.00319921
1	150	-5.98249	-5.95126	0.00318474
1	151	-5.98044	-5.95145	0.00316951
1	152	-5.97822	-5.95163	0.00315354
1	153	-5.97599	-5.95178	0.00313695
1	154	-5.97391	-5.95193	0.00311987
1	155	-5.97214	-5.95206	0.00310246
1	156	-5.97009	-5.95217	0.00308473
1	157	-5.96745	-5.95227	0.00306661
1	158	-5.9653	-5.95235	0.00304831
1	159	-5.96303	-5.95242	0.00302988
1	160	-5.96111	-5.95248	0.00301143
1	161	-5.95909	-5.95252	0.00299301
1	162	-5.95728	-5.95255	0.00297467
1	163	-5.95538	-5.95256	0.00295648
1	164	-5.95371	-5.95257	0.00293846
1	165	-5.9515	-5.95256	0.00292066
1	166	-5.94953	-5.95255	0.00290312
1	167	-5.9484	-5.95252	0.00288584
1	168	-5.94661	-5.95249	0.00286888
1	169	-5.94537	-5.95244	0.00285221
1	170	-5.94392	-5.95239	0.00283587
1	171	-5.94288	-5.95234	0.00281983
1	172	-5.9421	-5.95228	0.00280407
1	173	-5.94097	-5.95221	0.00278862
1	174	-5.93995	-5.95214	0.00277348
1	175	-5.93934	-5.95207	0.0027586
1	176	-5.93929	-5.952	0.00274388
1	177	-5.93905	-5.95192	0.00272936
1	178	-5.93877	-5.95185	0.00271502
1	179	-5.93875	-5.95178	0.00270084
1	180	-5.93807	-5.9517	0.00268691
1	181	-5.93811	-5.95163	0.00267311
1	182	-5.93794	-5.95155	0.00265948
1	183	-5.93818	-5.95148	0.00264595
1	184	-5.9382	-5.9514	0.00263256
1	185	-5.93832	-5.95133	0.00261928
1	186	-5.93867	-5.95127	0.00260608
1	187	-5.93895	-5.9512	0.00259298
1	188	-5.93977	-5.95114	0.0025799
1	189	-5.94051	-5.95108	0.00256686
1	190	-5.94102	-5.95103	0.0025539
1	191	-5.94189	-5.95098	0.00254097
1	192	-5.94298	-5.95094	0.00252808
1	193	-5.94367	-5.9509	0.00251526
1	194	-5.94411	-5.95087	0.00250254
1	195	-5.94476	-5.95084	0.0024899
1	196	-5.94575	-5.95081	0.00247734
1	197	-5.94663	-5.95079	0.00246485
1	198	-5.94739	-5.95077	0.00245246
1	199	-5.94834	-5.95076	0.00244017
1	200	-5.94948	-5.95075	0.00242798
1	201	-5.95064	-5.95075	0.0024159
1	202	-5.95152	-5.95076	0.00240394
1	203	-5.95304	-5.95077	0.00239212
1	204	-5.95427	-5.95079	0.00238046
1	205	-5.95551	-5.95081	0.00236896
1	206	-5.95708	-5.95084	0.00235765
