TEMPERATURE	CV_AVE	ERROR
2	0.197027	0.000517804
1.925	0.208815	0.000616784
1.85	0.22119	0.000540283
1.775	0.234676	0.000920232
1.7	0.249194	0.000617567
1.625	0.264721	0.000573075
1.55	0.281864	0.000708595
1.475	0.298927	0.000687077
1.4	0.318068	0.00111237
1.325	0.337234	0.000902356
1.25	0.357808	0.000910813
1.175	0.379321	0.000912014
1.1	0.397915	0.00130019
1.025	0.415497	0.00120744
0.95	0.427949	0.00186023
0.875	0.43803	0.00196428
0.8	0.441385	0.00246976
0.725	0.430152	0.00288262
0.65	0.424832	0.00304548
0.575	0.417631	0.00472781
0.5	0.331202	0.00630796
