Step	Temp
0	0.666667
1	0.666667
2	0.666667
3	0.666667
4	0.666667
5	0.666668
6	0.666668
7	0.666669
8	0.666669
9	0.66667
10	0.666671
11	0.666672
12	0.666673
13	0.666674
14	0.666675
15	0.666676
16	0.666678
17	0.666679
18	0.666681
19	0.666682
20	0.666684
21	0.666686
22	0.666688
23	0.66669
24	0.666692
25	0.666694
26	0.666696
27	0.666698
28	0.666701
29	0.666703
30	0.666706
31	0.666708
32	0.666711
33	0.666714
34	0.666717
35	0.66672
36	0.666723
37	0.666726
38	0.666729
39	0.666733
40	0.666736
41	0.66674
42	0.666743
43	0.666747
44	0.666751
45	0.666755
46	0.666758
47	0.666762
48	0.666767
49	0.666771
50	0.666775
51	0.666779
52	0.666784
53	0.666789
54	0.666793
55	0.666798
56	0.666803
57	0.666808
58	0.666813
59	0.666818
60	0.666823
61	0.666828
62	0.666833
63	0.666839
64	0.666844
65	0.66685
66	0.666856
67	0.666861
68	0.666867
69	0.666873
70	0.666879
71	0.666885
72	0.666892
73	0.666898
74	0.666904
75	0.666911
76	0.666917
77	0.666924
78	0.666931
79	0.666938
80	0.666945
81	0.666952
82	0.666959
83	0.666966
84	0.666973
85	0.666981
86	0.666988
87	0.666996
88	0.667003
89	0.667011
90	0.667019
91	0.667027
92	0.667035
93	0.667043
94	0.667051
95	0.667059
96	0.667068
97	0.667076
98	0.667085
99	0.667093
100	0.667102
101	0.667111
102	0.66712
103	0.667129
104	0.667138
105	0.667147
106	0.667156
107	0.667166
108	0.667175
109	0.667185
110	0.667194
111	0.667204
112	0.667214
113	0.667224
114	0.667234
115	0.667244
116	0.667254
117	0.667264
118	0.667275
119	0.667285
120	0.667296
121	0.667306
122	0.667317
123	0.667328
124	0.667339
125	0.66735
126	0.667362
127	0.667373
128	0.667385
129	0.667396
130	0.667408
131	0.66742
132	0.667431
133	0.667443
134	0.667456
135	0.667468
136	0.66748
137	0.667492
138	0.667505
139	0.667517
140	0.66753
141	0.667543
142	0.667555
143	0.667568
144	0.667581
145	0.667594
146	0.667608
147	0.667621
148	0.667634
149	0.667648
150	0.667661
151	0.667675
152	0.667689
153	0.667703
154	0.667717
155	0.667731
156	0.667745
157	0.667759
158	0.667774
159	0.667788
160	0.667803
161	0.667818
162	0.667833
163	0.667848
164	0.667863
165	0.667879
166	0.667895
167	0.66791
168	0.667926
169	0.667942
170	0.667958
171	0.667974
172	0.667991
173	0.668007
174	0.668024
175	0.66804
176	0.668057
177	0.668074
178	0.66809
179	0.668107
180	0.668125
181	0.668142
182	0.668159
183	0.668177
184	0.668194
185	0.668212
186	0.668229
187	0.668247
188	0.668265
189	0.668283
190	0.668302
191	0.66832
192	0.668338
193	0.668357
194	0.668375
195	0.668394
196	0.668413
197	0.668432
198	0.668451
199	0.66847
200	0.668489
201	0.668509
202	0.668528
203	0.668548
204	0.668568
205	0.668588
206	0.668607
207	0.668628
208	0.668648
209	0.668668
210	0.668688
211	0.668709
212	0.66873
213	0.66875
214	0.668771
215	0.668792
216	0.668813
217	0.668835
218	0.668856
219	0.668877
220	0.668899
221	0.668921
222	0.668943
223	0.668965
224	0.668987
225	0.669009
226	0.669031
227	0.669054
228	0.669076
229	0.669099
230	0.669122
231	0.669144
232	0.669167
233	0.669191
234	0.669214
235	0.669237
236	0.669261
237	0.669284
238	0.669308
239	0.669332
240	0.669356
241	0.66938
242	0.669405
243	0.669429
244	0.669454
245	0.669478
246	0.669503
247	0.669528
248	0.669553
249	0.669578
250	0.669604
251	0.669629
252	0.669655
253	0.66968
254	0.669706
255	0.669732
256	0.669759
257	0.669785
258	0.669811
259	0.669838
260	0.669865
261	0.669892
262	0.669919
263	0.669946
264	0.669974
265	0.670001
266	0.670029
267	0.670056
268	0.670084
269	0.670112
270	0.67014
271	0.670169
272	0.670197
273	0.670226
274	0.670255
275	0.670283
276	0.670312
277	0.670342
278	0.670371
279	0.6704
280	0.67043
281	0.67046
282	0.67049
283	0.67052
284	0.67055
285	0.67058
286	0.670611
287	0.670641
288	0.670672
289	0.670703
290	0.670734
291	0.670765
292	0.670797
293	0.670828
294	0.67086
295	0.670892
296	0.670924
297	0.670956
298	0.670989
299	0.671021
300	0.671054
301	0.671087
302	0.67112
303	0.671153
304	0.671186
305	0.67122
306	0.671254
307	0.671287
308	0.671321
309	0.671356
310	0.67139
311	0.671424
312	0.671459
313	0.671494
314	0.671529
315	0.671564
316	0.671599
317	0.671634
318	0.67167
319	0.671706
320	0.671742
321	0.671778
322	0.671814
323	0.671851
324	0.671887
325	0.671924
326	0.671961
327	0.671998
328	0.672036
329	0.672073
330	0.672111
331	0.672149
332	0.672187
333	0.672225
334	0.672263
335	0.672302
336	0.672341
337	0.67238
338	0.672419
339	0.672458
340	0.672498
341	0.672537
342	0.672577
343	0.672617
344	0.672658
345	0.672698
346	0.672739
347	0.67278
348	0.672821
349	0.672862
350	0.672903
351	0.672945
352	0.672987
353	0.673029
354	0.673071
355	0.673113
356	0.673156
357	0.673199
358	0.673242
359	0.673285
360	0.673328
361	0.673372
362	0.673416
363	0.67346
364	0.673504
365	0.673548
366	0.673593
367	0.673638
368	0.673683
369	0.673728
370	0.673774
371	0.673819
372	0.673865
373	0.673912
374	0.673958
375	0.674005
376	0.674051
377	0.674098
378	0.674146
379	0.674193
380	0.674241
381	0.674289
382	0.674337
383	0.674385
384	0.674434
385	0.674483
386	0.674532
387	0.674581
388	0.674631
389	0.674681
390	0.674731
391	0.674781
392	0.674831
393	0.674882
394	0.674933
395	0.674984
396	0.675036
397	0.675088
398	0.67514
399	0.675192
400	0.675244
401	0.675297
402	0.67535
403	0.675404
404	0.675457
405	0.675511
406	0.675565
407	0.675619
408	0.675674
409	0.675729
410	0.675784
411	0.675839
412	0.675895
413	0.675951
414	0.676007
415	0.676063
416	0.67612
417	0.676177
418	0.676234
419	0.676292
420	0.67635
421	0.676408
422	0.676466
423	0.676525
424	0.676584
425	0.676643
426	0.676703
427	0.676763
428	0.676823
429	0.676883
430	0.676944
431	0.677005
432	0.677067
433	0.677128
434	0.67719
435	0.677253
436	0.677315
437	0.677378
438	0.677442
439	0.677505
440	0.677569
441	0.677633
442	0.677698
443	0.677763
444	0.677828
445	0.677893
446	0.677959
447	0.678025
448	0.678092
449	0.678159
450	0.678226
451	0.678294
452	0.678362
453	0.67843
454	0.678498
455	0.678567
456	0.678637
457	0.678706
458	0.678777
459	0.678847
460	0.678918
461	0.67899
462	0.679061
463	0.679133
464	0.679206
465	0.679279
466	0.679352
467	0.679426
468	0.6795
469	0.679574
470	0.679649
471	0.679724
472	0.679799
473	0.679875
474	0.679952
475	0.680029
476	0.680106
477	0.680183
478	0.680261
479	0.68034
480	0.680419
481	0.680498
482	0.680578
483	0.680658
484	0.680738
485	0.680819
486	0.680901
487	0.680983
488	0.681065
489	0.681148
490	0.681231
491	0.681314
492	0.681399
493	0.681483
494	0.681568
495	0.681654
496	0.68174
497	0.681826
498	0.681913
499	0.682001
500	0.682089
501	0.682177
502	0.682266
503	0.682355
504	0.682445
505	0.682536
506	0.682627
507	0.682718
508	0.68281
509	0.682902
510	0.682995
511	0.683089
512	0.683183
513	0.683278
514	0.683373
515	0.683468
516	0.683565
517	0.683661
518	0.683759
519	0.683857
520	0.683955
521	0.684054
522	0.684154
523	0.684254
524	0.684355
525	0.684456
526	0.684558
527	0.684661
528	0.684764
529	0.684868
530	0.684972
531	0.685077
532	0.685183
533	0.685289
534	0.685396
535	0.685504
536	0.685612
537	0.685721
538	0.68583
539	0.685941
540	0.686051
541	0.686163
542	0.686275
543	0.686388
544	0.686502
545	0.686616
546	0.686731
547	0.686847
548	0.686964
549	0.687081
550	0.687199
551	0.687318
552	0.687437
553	0.687558
554	0.687679
555	0.6878
556	0.687923
557	0.688046
558	0.68817
559	0.688295
560	0.688421
561	0.688547
562	0.688675
563	0.688803
564	0.688932
565	0.689061
566	0.689192
567	0.689323
568	0.689456
569	0.689589
570	0.689723
571	0.689858
572	0.689993
573	0.69013
574	0.690268
575	0.690406
576	0.690545
577	0.690686
578	0.690827
579	0.690969
580	0.691112
581	0.691256
582	0.691402
583	0.691548
584	0.691695
585	0.691843
586	0.691992
587	0.692142
588	0.692293
