#   N_BLOCK:  ACCEPTANCE:
           1    0.537108
           2    0.537906
           3    0.538079
           4    0.538049
           5    0.538023
           6    0.538034
           7    0.537844
           8    0.537639
           9    0.537679
          10     0.53776
          11    0.537675
          12    0.537577
          13    0.537608
          14    0.537635
          15    0.537682
          16    0.537707
          17    0.537729
          18    0.537633
          19    0.537632
          20    0.537623
           1    0.536874
           2    0.536177
           3    0.535629
           4     0.53507
           5    0.534575
           6    0.534154
           7    0.533777
           8    0.533321
           9    0.532912
          10    0.532621
          11    0.532283
          12    0.532032
          13     0.53172
          14    0.531486
          15    0.531211
          16     0.53093
          17    0.530686
          18    0.530458
          19    0.530235
          20    0.530035
           1    0.529449
           2    0.528893
           3    0.528369
           4    0.527884
           5    0.527394
           6    0.526958
           7    0.526536
           8    0.526161
           9    0.525738
          10     0.52537
          11    0.524995
          12    0.524603
          13    0.524268
          14    0.523942
          15    0.523616
          16     0.52333
          17    0.523013
          18    0.522715
          19     0.52245
          20    0.522203
           1    0.521642
           2    0.521125
           3    0.520613
           4    0.520145
           5    0.519665
           6    0.519197
           7    0.518759
           8    0.518343
           9    0.517918
          10    0.517519
          11    0.517117
          12    0.516741
          13    0.516349
          14    0.515995
          15    0.515637
          16    0.515299
          17    0.514959
          18     0.51462
          19    0.514302
          20    0.513967
           1    0.513466
           2    0.512946
           3    0.512442
           4    0.511946
           5    0.511469
           6    0.510995
           7    0.510527
           8     0.51009
           9    0.509652
          10    0.509199
          11    0.508779
          12    0.508363
          13    0.507983
          14    0.507603
          15    0.507209
          16    0.506841
          17    0.506476
          18    0.506115
          19     0.50577
          20    0.505438
           1    0.504918
           2    0.504409
           3    0.503925
           4    0.503439
           5    0.502954
           6    0.502468
           7    0.502014
           8    0.501565
           9    0.501088
          10    0.500642
          11    0.500194
          12    0.499784
          13    0.499358
          14     0.49895
          15    0.498551
          16     0.49814
          17    0.497741
          18    0.497338
          19    0.496941
          20    0.496549
           1    0.496014
           2     0.49548
           3    0.494963
           4    0.494437
           5    0.493932
           6    0.493428
           7    0.492931
           8    0.492452
           9    0.491992
          10    0.491537
          11    0.491091
          12    0.490633
          13      0.4902
          14    0.489766
          15    0.489338
          16    0.488914
          17      0.4885
          18    0.488107
          19    0.487712
          20    0.487302
           1    0.486762
           2    0.486222
           3    0.485673
           4    0.485146
           5     0.48462
           6    0.484107
           7    0.483589
           8    0.483088
           9    0.482593
          10    0.482113
          11    0.481634
          12    0.481164
          13    0.480689
          14     0.48022
          15    0.479768
          16    0.479319
          17    0.478876
          18    0.478437
          19    0.477991
          20    0.477563
           1    0.477005
           2    0.476457
           3    0.475896
           4    0.475352
           5    0.474815
           6    0.474272
           7    0.473751
           8    0.473232
           9     0.47272
          10    0.472221
          11    0.471721
          12    0.471225
          13    0.470747
          14    0.470272
          15    0.469792
          16    0.469314
          17    0.468835
          18    0.468371
          19     0.46792
          20    0.467465
           1     0.46688
           2    0.466321
           3    0.465753
           4    0.465184
           5    0.464627
           6    0.464068
           7    0.463522
           8    0.462992
           9     0.46246
          10    0.461928
          11    0.461418
          12    0.460907
          13    0.460386
          14    0.459878
          15    0.459384
          16    0.458883
          17    0.458402
          18    0.457912
          19    0.457436
          20     0.45696
           1     0.45636
           2    0.455759
           3    0.455168
           4    0.454591
           5     0.45402
           6     0.45344
           7    0.452875
           8    0.452312
           9     0.45176
          10     0.45121
          11    0.450671
          12    0.450136
          13    0.449591
          14     0.44906
          15     0.44853
          16    0.447999
          17    0.447484
          18    0.446964
          19     0.44646
          20    0.445964
           1    0.445347
           2    0.444734
           3    0.444135
           4    0.443529
           5     0.44293
           6    0.442339
           7    0.441737
           8    0.441164
           9    0.440577
          10    0.440003
          11    0.439436
          12    0.438874
          13    0.438312
          14    0.437742
          15    0.437191
          16    0.436642
          17     0.43611
          18    0.435572
          19    0.435037
          20    0.434516
           1    0.433881
           2    0.433252
           3    0.432628
           4       0.432
           5    0.431376
           6     0.43076
           7    0.430152
           8    0.429536
           9    0.428936
          10    0.428334
          11    0.427743
          12    0.427154
          13    0.426571
          14     0.42598
          15    0.425411
          16    0.424843
          17    0.424293
          18    0.423735
          19    0.423185
          20    0.422633
           1    0.421968
           2    0.421303
           3    0.420651
           4    0.419997
           5    0.419347
           6    0.418705
           7     0.41806
           8    0.417432
           9     0.41681
          10    0.416181
          11    0.415561
          12    0.414946
