INITIAL DISTRIBUTION	DELTA
BIN SIZE	0.188562
BIN	VMIN	VMAX	AVE	PROG_AVE_POFV	ERROR
0	0.188562	0.377124	0.038	0.038	0
1	0.377124	0.565685	0.0325	0.0325	0
2	0.565685	0.754247	0.038	0.038	0
3	0.754247	0.942809	0.153	0.153	0
4	0.942809	1.13137	0.666	0.666	0
5	1.13137	1.31993	0.9575	0.9575	0
6	1.31993	1.50849	81.538	81.538	0
7	1.50849	1.69706	17.84	17.84	0
8	1.69706	1.88562	5.408	5.408	0
9	1.88562	2.07418	1.2095	1.2095	0
10	2.07418	2.26274	0.079	0.079	0
11	2.26274	2.4513	0.016	0.016	0
12	2.4513	2.63987	0	0	0
13	2.63987	2.82843	0	0	0
14	2.82843	3.01699	0	0	0
15	3.01699	3.20555	0	0	0
16	3.20555	3.39411	0	0	0
17	3.39411	3.58267	0	0	0
18	3.58267	3.77124	0	0	0
19	3.77124	3.9598	0	0	0
20	3.9598	4.14836	0	0	0
21	4.14836	4.33692	0	0	0
22	4.33692	4.52548	0	0	0
23	4.52548	4.71405	0	0	0
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	0.296	0.167	0.0912168
1	0.377124	0.565685	1.018	0.52525	0.348427
2	0.565685	0.754247	1.6635	0.85075	0.574701
3	0.754247	0.942809	3.1945	1.67375	1.07533
4	0.942809	1.13137	7.9365	4.30125	2.57051
5	1.13137	1.31993	11.2255	6.0915	3.63029
6	1.31993	1.50849	26.94	54.239	19.3033
7	1.50849	1.69706	24.2305	21.0352	2.25938
8	1.69706	1.88562	11.7515	8.57975	2.24277
9	1.88562	2.07418	8.894	5.05175	2.71688
10	2.07418	2.26274	5.5925	2.83575	1.94932
11	2.26274	2.4513	1.816	0.916	0.636396
12	2.4513	2.63987	1.281	0.6405	0.452902
13	2.63987	2.82843	0.9845	0.49225	0.348073
14	2.82843	3.01699	0.349	0.1745	0.12339
15	3.01699	3.20555	0.0405	0.02025	0.0143189
16	3.20555	3.39411	0	0	0
17	3.39411	3.58267	0	0	0
